breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,height_range_in,size
Irish Setter,https://dogtime.com/dog-breeds/irish-setter,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2,3,2,3,4,5,4,5,5,5,4,5,5,5,3,5,5,Sporting Dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",60 to 70 pounds,11 to 15 years,"25,27",5
Irish Terrier,https://dogtime.com/dog-breeds/irish-terrier,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1,2,5,3,3,3,1,4,1,2,4,3,5,5,4,4,5,Terrier Dogs,"1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder",25 to 27 pounds,12 to 16 years,"18,20",3
Irish Water Spaniel,https://dogtime.com/dog-breeds/irish-water-spaniel,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2,3,2,3,3,4,5,4,3,5,4,3,4,5,3,5,4,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",45 to 65 pounds,10 to 12 years,"21,24",4
Irish Wolfhound,https://dogtime.com/dog-breeds/irish-wolfhound,2,1,2,3,2,4,2,5,5,5,5,5,3,3,1,3,1,3,5,3,3,4,3,5,1,3,3,2,2,4,4,Hound Dogs,"2 feet, 8 inches to 2 feet, 11 inches tall at the shoulder",115 to 180 pounds,6 to 8 years,"32,35",5
Italian Greyhound,https://dogtime.com/dog-breeds/italian-greyhound,3,5,5,5,1,1,3,5,5,5,4,4,3,2,1,5,3,2,2,4,3,3,4,5,3,3,4,4,2,4,4,Companion Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",6 to 15 pounds,14 to 15 years,"13,15",3
Jack-A-Poo,https://dogtime.com/dog-breeds/jack-a-poo,4,4,4,4,2,4,4,5,5,5,5,4,2,2,1,2,3,4,2,4,4,5,4,4,3,4,5,5,4,5,5,Mixed Breed Dogs,10 to 16 inches,13 to 25 pounds,12 to 15 years,"10,16",2
Jack Chi,https://dogtime.com/dog-breeds/jack-chi,3,4,2,3,3,2,4,4,4,5,4,3,3,2,2,5,4,4,2,3,2,4,2,4,2,4,4,4,4,4,5,Mixed Breed Dogs,12 to 15 inches,8 to 18 pounds,13 to 18 years,"12,15",2
Jack Russell Terrier,https://dogtime.com/dog-breeds/jack-russell-terrier,3,3,2,3,3,4,3,5,5,4,5,4,3,3,1,3,4,4,2,4,4,5,4,5,4,4,5,5,5,5,5,Terrier Dogs,"10 inches to 1 foot, 3 inches tall at the shoulder",13 to 17 pounds,10 to 15 years,"10,15",2
Japanese Chin,https://dogtime.com/dog-breeds/japanese-chin,3,5,4,3,1,3,2,3,3,3,3,4,2,3,1,3,3,3,1,3,3,3,4,3,3,1,2,2,1,2,4,Companion Dogs,8 inches to 11 inches tall at the shoulder,4 to 9 pounds,10 to 14 years,"8,11",1
Japanese Spitz,https://dogtime.com/dog-breeds/japanese-spitz,3,4,4,3,2,4,3,4,4,5,4,2,3,3,1,4,3,2,2,3,4,4,2,2,4,2,3,3,2,3,4,Companion Dogs,10 to 16 inches,11 to 20 pounds,10 to 16 years,"10,16",2
Korean Jindo Dog,https://dogtime.com/dog-breeds/jindo,3,3,2,3,2,5,2,4,5,3,3,4,3,5,1,1,4,2,3,3,2,5,2,5,5,5,4,4,4,5,4,Sporting Dogs,19½ to 21 inches for males and 18½ to 20 inches for females,35 - 60 pounds,12 - 15 years,"18,21",3
Karelian Bear Dog,https://dogtime.com/dog-breeds/karelian-bear-dog,3,2,1,4,2,5,3,3,4,3,1,2,3,3,1,4,4,2,3,4,2,4,4,5,4,5,4,4,5,4,4,Working Dogs,19 to 24 inches,44 to 50 pounds,10 to 13 years,"19,24",4
Keeshond,https://dogtime.com/dog-breeds/keeshond,4,4,4,5,1,5,3,5,5,5,4,4,3,5,1,3,3,4,3,3,4,4,3,3,4,2,4,4,3,3,5,Companion Dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",35 to 45 pounds,12 to 15 years,"16,19",3
Kerry Blue Terrier,https://dogtime.com/dog-breeds/kerry-blue-terrier,3,3,2,3,3,4,3,4,4,4,2,5,2,1,1,2,3,3,3,4,4,4,4,3,4,3,4,4,4,5,4,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",33 to 40 pounds,12 to 15 years,"17,19",3
Komondor,https://dogtime.com/dog-breeds/komondor,3,2,1,4,1,4,3,3,5,3,1,1,3,3,2,2,2,3,4,4,4,4,3,2,5,4,3,2,1,4,4,Working Dogs,25 to 27 inches tall at the shoulder,80 to 100 pounds,10 to 12 years,"25,27",5
Kooikerhondje,https://dogtime.com/dog-breeds/kooikerhondje,3,4,3,4,2,4,3,2,3,2,2,2,3,3,1,2,5,3,3,3,1,4,3,3,3,3,5,4,5,5,4,Sporting Dogs,"1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder",20 to 25 pounds,12 to 14 years,"14,16",2
Kuvasz,https://dogtime.com/dog-breeds/kuvasz,3,1,1,5,1,5,2,2,5,1,2,1,4,4,3,4,4,4,5,2,2,4,1,1,3,3,4,4,4,5,4,Working Dogs,26 to 30 inches tall at the shoulder,70 to 115 pounds,10 to 12 years,"26,30",5
Kyi-Leo,https://dogtime.com/dog-breeds/kyi-leo,4,5,4,3,4,5,2,4,5,5,4,3,2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4,Mixed Breed Dogs,8 to 12 inches,8 to 14 pounds,13 to 15 years,"8,12",2
Lab Pointer,https://dogtime.com/dog-breeds/lab-pointer,3,1,4,3,1,4,4,4,5,4,3,4,3,2,2,4,4,4,4,4,5,4,2,4,2,4,4,5,3,5,4,Mixed Breed Dogs,22 to 28 inches,35 to 80 pounds,10 to 15 years,"22,28",4
Labernese,https://dogtime.com/dog-breeds/labernese,3,2,4,4,1,4,2,4,4,5,4,3,3,4,3,3,2,4,4,3,3,4,3,3,2,4,4,4,2,4,5,Mixed Breed Dogs,24 to 28 inches,65 to 110 pounds,6 to 12 years,"24,28",5
Labmaraner,https://dogtime.com/dog-breeds/labmaraner,3,1,4,4,1,3,3,4,4,5,4,3,3,1,2,4,4,4,4,4,4,4,3,3,3,4,4,4,3,5,5,Mixed Breed Dogs,21 to 24 inches,60 to 100 pounds,10 to 12 years,"21,24",4
Labrabull,https://dogtime.com/dog-breeds/labrabull,3,2,2,4,1,3,3,4,5,5,2,5,4,5,2,5,3,3,4,4,5,5,5,3,3,4,5,5,5,4,5,Mixed Breed Dogs,20 to 24 inches ,45 to 90 pounds ,10 to 14 years ,"20,24",4
Labradane,https://dogtime.com/dog-breeds/labradane,3,1,2,3,2,4,4,4,5,5,4,3,4,2,3,4,4,4,5,3,3,4,2,3,1,3,4,4,2,4,5,Mixed Breed Dogs,24 to 30 inches,100 to 180 pounds,8 to 12 years,"24,30",5
Labradoodle,https://dogtime.com/dog-breeds/labradoodle,4,3,4,3,4,5,4,5,5,4,5,5,3,3,1,4,4,3,4,3,4,4,1,2,2,3,5,5,4,5,5,Hybrid Dogs,21 to 24 inches at the shoulder,50 to 65 pounds,12 to 14 years,"21,24",4
Labrador Retriever,https://dogtime.com/dog-breeds/labrador-retriever,3,1,3,5,2,3,3,5,5,5,5,5,4,5,3,5,3,5,4,4,5,5,5,2,4,3,5,5,5,5,5,Sporting Dogs,21 to 24 inches at the shoulder,55 to 80 pounds,10 to 12 years,"21,24",4
Labrastaff,https://dogtime.com/dog-breeds/labrastaff,3,2,2,4,1,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,2,4,3,3,3,4,4,4,3,4,4,Mixed Breed Dogs,17 to 24 inches,40 to 80 pounds,10 to 14 years,"17,24",3
Labsky,https://dogtime.com/dog-breeds/labsky,2,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,5,5,4,5,5,Mixed Breed Dogs,20 to 28 inches,40 to 60 pounds,10 to 12 years,"20,28",3
Lagotto Romagnolo,https://dogtime.com/dog-breeds/lagotto-romagnolo,3,2,4,3,3,4,3,3,3,3,3,3,2,1,2,1,4,3,2,3,4,4,2,4,3,3,4,4,2,4,4,Sporting Dogs,14 to 19 inches,24 to 35 pounds,14 to 17 years,"14,19",3
Lakeland Terrier,https://dogtime.com/dog-breeds/lakeland-terrier,3,4,3,3,2,4,4,4,5,4,3,3,3,2,1,2,5,3,2,3,2,4,1,4,2,3,4,5,4,4,4,Terrier Dogs,"1 foot, 1 inch to 1 foot, 2 inches tall at the shoulder",15 to 17 pounds,12 to 15 years,"13,14",2
Lancashire Heeler,https://dogtime.com/dog-breeds/lancashire-heeler,3,2,2,3,3,3,3,3,4,3,3,2,3,3,1,4,4,4,1,3,3,4,2,2,2,4,4,4,4,3,4,Herding Dogs,10 inches to 1 foot tall at the shoulder,13 to 15 pounds,9 to 14 years,"10,12",2
Leonberger,https://dogtime.com/dog-breeds/leonberger,2,1,1,4,2,5,1,4,5,4,3,2,4,5,3,4,1,4,5,3,2,3,4,4,3,2,4,4,4,4,4,Working Dogs,"2 feet, 1 inch to 2 feet, 7 inches tall at the shoulder",120 to 170 pounds,10 to 12 years,"25,31",5
Lhasa Apso,https://dogtime.com/dog-breeds/lhasa-apso,4,5,5,5,4,3,2,3,4,4,3,2,2,3,1,1,3,3,1,3,3,4,3,4,4,2,4,4,3,3,5,Companion Dogs,9 inches to 11 inches tall at the shoulder,12 to 15 pounds,12 to 15 years,"9,11",2
Lhasapoo,https://dogtime.com/dog-breeds/lhasapoo,3,4,2,4,2,3,3,3,4,3,3,1,3,1,1,3,4,3,3,3,3,5,2,2,4,2,4,4,4,3,4,Mixed Breed Dogs,9 to 13 inches,10 to 15 pounds,10 to 15 years,"9,13",2
Lowchen,https://dogtime.com/dog-breeds/lowchen,3,5,4,3,1,3,3,5,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,4,4,3,4,5,Companion Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",9 to 18 pounds,13 to 15 years,"12,14",2
Maltese,https://dogtime.com/dog-breeds/maltese,3,5,5,4,1,1,3,4,5,3,4,2,2,2,1,2,3,3,1,3,4,4,3,4,2,1,3,3,3,2,4,Companion Dogs,8 inches to 10 inches tall at the shoulder,Up to 7 pounds,12 to 15 years,"8,10",1
Maltese Shih Tzu,https://dogtime.com/dog-breeds/maltese-shih-tzu,3,5,5,3,3,2,2,3,4,3,3,3,2,1,1,2,2,3,1,4,4,3,4,5,4,1,3,3,2,3,3,Hybrid Dogs,From 10 inches tall at the shoulder,6 to 12 pounds,12 to 14 years,10,1
Maltipoo,https://dogtime.com/dog-breeds/maltipoo,4,5,5,5,1,2,3,4,5,4,4,4,2,1,1,3,2,2,2,4,5,4,3,2,5,4,3,3,3,2,4,Hybrid Dogs,"8 inches to 1 foot, 2 inches tall at the shoulder",5 to 20 pounds,10 to 13 years,"8,14",2
Manchester Terrier,https://dogtime.com/dog-breeds/manchester-terrier,3,5,3,3,3,1,3,3,4,3,3,3,3,3,1,5,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,Terrier Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",12 to 22 pounds,14 to 16 years,"15,16",2
Mastador,https://dogtime.com/dog-breeds/mastador,3,1,2,4,3,4,2,4,5,5,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4,4,Mixed Breed Dogs,28 to 36 inches,85 to 160 pounds ,10 to 12 years ,"28,36",5
Mastiff,https://dogtime.com/dog-breeds/mastiff,2,2,1,3,3,4,1,4,5,5,2,2,4,3,5,3,3,4,5,2,3,2,4,2,2,1,4,3,3,4,4,Working Dogs,27 to 32 inches tall at the shoulder,130 to 220 pounds,6 to 10 years,"27,32",5
Miniature Pinscher,https://dogtime.com/dog-breeds/miniature-pinscher,3,5,3,5,2,1,3,3,5,3,2,3,3,2,1,5,3,5,1,3,3,3,2,3,1,5,4,4,3,4,5,Companion Dogs,10 inches to 1 foot tall at the shoulder,8 to 11 pounds,10 to 14 years,"10,12",1
Miniature Schnauzer,https://dogtime.com/dog-breeds/miniature-schnauzer,4,4,3,4,5,4,4,4,5,3,3,3,2,2,1,2,3,4,2,4,5,4,2,4,3,3,4,5,3,5,4,Terrier Dogs,"1 foot to 1 foot, 2 inches tall at the shoulder",11 to 20 pounds,12 to 14 years,"12,14",2
Morkie,https://dogtime.com/dog-breeds/morkie,3,3,2,3,2,2,3,3,4,3,2,3,2,1,1,3,4,4,1,4,3,4,5,3,5,2,4,4,3,4,5,Mixed Breed Dogs,4 to 8 inches,7 to 13 pounds,10 to 14 years,"4,8",1
Mudi,https://dogtime.com/dog-breeds/mudi,3,2,4,4,2,3,3,3,4,2,2,2,3,3,1,4,4,2,2,4,5,4,3,4,4,4,4,4,2,4,4,Herding Dogs,14 to 20 inches,18 to 29 pounds,12 to 14 years,"14,20",3
Neapolitan Mastiff,https://dogtime.com/dog-breeds/neapolitan-mastiff,2,2,1,4,1,1,2,3,5,4,2,1,4,3,5,3,2,5,5,2,3,3,2,1,1,1,3,3,1,3,4,Working Dogs,24 to 31 inches tall at the shoulder,120 to 200 pounds,8 to 10 years,"24,31",5
Newfoundland,https://dogtime.com/dog-breeds/newfoundland,3,1,3,4,1,5,2,5,5,5,4,4,4,5,5,2,1,4,5,4,5,4,3,4,4,3,3,3,1,3,4,Working Dogs,"2 feet, 1 inch to 2 feet, 5 inches tall at the shoulder",100 to 150 pounds,8 to 10 years,"25,29",5
Norfolk Terrier,https://dogtime.com/dog-breeds/norfolk-terrier,4,4,5,4,3,4,4,5,5,4,5,4,3,1,1,4,5,5,1,3,5,4,2,1,3,4,4,4,4,4,5,Terrier Dogs,9 inches to 10 inches tall at the shoulder,11 to 12 pounds,12 to 15 years,"9,10",1
Norwegian Buhund,https://dogtime.com/dog-breeds/norwegian-buhund,3,3,3,3,4,5,2,4,5,5,3,3,3,3,1,2,4,3,3,3,4,3,3,2,4,4,5,4,4,5,5,Herding Dogs,"1 foot, 4 inches to 1 foot, 6 inches tall at the shoulder",26 to 40 pounds,12 to 15 years,"16,18",3
Norwegian Elkhound,https://dogtime.com/dog-breeds/norwegian-elkhound,4,4,4,4,2,5,3,4,5,4,4,4,3,5,1,3,4,4,3,4,2,4,3,4,4,4,4,5,3,5,4,Hound Dogs,"1 foot, 7 inches to 1 foot, 8 inches tall at the shoulder",49 to 55 pounds,12 to 15 years,"19,20",3
Norwegian Lundehund,https://dogtime.com/dog-breeds/norwegian-lundehund,3,1,1,3,2,5,3,5,5,5,5,5,3,5,1,4,3,3,3,3,4,5,3,2,1,5,5,4,4,5,5,Working Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",13 to 16 pounds,10 to 12 years,"12,15",2
Norwich Terrier,https://dogtime.com/dog-breeds/norwich-terrier,4,5,3,4,2,4,4,5,5,5,5,5,3,2,1,2,4,5,1,4,4,4,4,3,4,4,5,5,4,4,5,Terrier Dogs,Up to 10 inches tall at the shoulder,Up to 12 pounds,10 to 14 years,10,1
Nova Scotia Duck Tolling Retriever,https://dogtime.com/dog-breeds/nova-scotia-duck-tolling-retriever,4,5,3,3,2,4,4,5,5,5,4,4,3,3,1,5,4,4,3,4,4,5,4,5,4,3,5,5,3,5,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 9 inches tall at the shoulder",35 to 50 pounds,10 to 14 years,"17,21",3
Old English Sheepdog,https://dogtime.com/dog-breeds/old-english-sheepdog,4,5,4,4,2,4,2,4,5,4,4,4,3,1,4,1,4,4,4,3,3,4,2,3,1,2,4,4,3,4,4,Herding Dogs,20 to 24 inches,60 to 100 pounds,10 to 12 years,"20,24",4
Otterhound,https://dogtime.com/dog-breeds/otterhound,3,1,4,2,5,4,3,5,5,5,5,4,3,4,1,2,4,3,4,4,2,4,3,5,2,5,5,5,4,5,5,Hound Dogs,"2 feet to 2 feet, 3 inches tall at the shoulder",64 to 110 pounds,10 to 12 years,"24,27",5
Papillon,https://dogtime.com/dog-breeds/papillon,3,5,5,3,1,2,4,4,5,3,4,5,2,2,1,3,3,3,1,3,5,4,3,4,2,1,4,4,3,5,5,Companion Dogs,8 inches to 11 inches tall at the shoulder,4 to 9 pounds,12 to 16 years,"8,11",1
Papipoo,https://dogtime.com/dog-breeds/papipoo,4,5,5,4,1,2,4,4,5,3,4,4,2,1,1,2,3,3,1,3,5,5,3,3,2,2,5,5,3,5,5,Mixed Breed Dogs,10 to 11 inches,6 to 14 pounds,10 to 14 years,"10,11",2
Peekapoo,https://dogtime.com/dog-breeds/peekapoo,4,5,5,4,2,3,2,4,5,4,4,3,2,2,1,2,3,4,1,3,3,4,4,3,4,1,3,3,2,3,4,Hybrid Dogs,9 to 11 inches tall at the shoulder,4 to 20 pounds,10 to 15 years,"9,11",2
Pekingese,https://dogtime.com/dog-breeds/pekingese,3,5,4,2,3,4,1,3,5,2,2,2,2,4,1,1,2,3,1,4,3,4,3,5,4,3,2,2,1,2,3,Companion Dogs,6 inches to 9 inches tall at the shoulder,7 to 14 pounds,12 to 15 years,"6,9",1
Pembroke Welsh Corgi,https://dogtime.com/dog-breeds/pembroke-welsh-corgi,4,4,4,4,3,4,3,4,5,4,3,5,3,5,1,4,3,4,2,3,5,5,2,3,2,2,4,4,3,4,4,Herding Dogs,10 inches to 1 foot tall at the shoulder,Up to 30 pounds,12 to 14 years,"10,12",2
Petit Basset Griffon Vendeen,https://dogtime.com/dog-breeds/petit-basset-griffon-vendeen,3,4,3,3,3,4,3,5,5,5,5,5,3,4,1,2,3,4,2,4,1,4,3,5,5,5,5,5,4,5,5,Hound Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",30 to 40 pounds,Starts at 14 years,"13,15",2
Pharaoh Hound,https://dogtime.com/dog-breeds/pharaoh-hound,4,4,4,5,2,1,5,5,5,5,5,4,3,2,1,4,5,3,3,4,3,4,4,5,4,4,3,2,3,4,4,Hound Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",45 to 55 pounds,11 to 14 years,"21,25",3
Pitsky,https://dogtime.com/dog-breeds/pitsky,2,2,1,4,1,3,3,5,5,5,3,5,3,4,2,3,4,2,3,4,3,3,4,3,4,4,5,4,4,5,5,Mixed Breed Dogs,16 to 25 inches ,30 to 80 pounds ,12 to 16 years ,"16,25",4
Plott,https://dogtime.com/dog-breeds/plott,2,1,1,4,2,2,4,4,4,3,5,3,3,2,1,5,5,3,3,4,4,3,3,5,1,5,4,4,4,5,3,Hound Dogs,"1 foot, 8 inches to 2 feet, 3 inches tall at the shoulder",40 to 75 pounds,12 to 14 years,"20,27",4
Pocket Beagle,https://dogtime.com/dog-breeds/pocket-beagle,3,4,3,4,2,2,4,5,5,5,5,4,3,3,1,5,3,5,2,4,3,4,4,3,5,5,4,4,4,4,4,Hound Dogs,7 inches to 1 foot tall at the shoulder,7 to 15 pounds,Starts at 10 years,"7,12",2
Pointer,https://dogtime.com/dog-breeds/pointer,2,1,1,3,1,2,4,5,5,5,5,5,3,3,1,5,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",45 to 75 pounds,12 to 15 years,"23,28",5
Polish Lowland Sheepdog,https://dogtime.com/dog-breeds/polish-lowland-sheepdog,4,4,2,4,3,4,4,4,5,4,3,3,2,1,1,1,4,3,3,3,4,4,3,3,2,3,4,4,3,4,4,Herding Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",35 to 55 pounds,10 to 12 years,"17,20",3
Pomapoo,https://dogtime.com/dog-breeds/pomapoo,3,5,5,4,1,3,2,4,5,3,3,3,2,3,1,1,3,4,1,3,4,4,3,2,3,1,3,3,3,3,4,Mixed Breed Dogs,8 to 10 inches,5 to 15 pounds,12 to 15 years ,"8,10",1
Pomchi,https://dogtime.com/dog-breeds/pomchi,3,4,3,3,3,2,4,3,4,3,3,3,3,3,1,2,5,4,1,4,3,4,4,3,4,3,4,3,4,3,4,Mixed Breed Dogs,6 to 10 inches,4 to 12 pounds,12 to 18 years,"6,10",1
Pomeagle,https://dogtime.com/dog-breeds/pomeagle,3,4,4,4,1,3,2,4,5,3,3,3,3,4,1,2,3,4,1,3,3,2,3,3,5,4,4,4,3,3,4,Mixed Breed Dogs,6 to 11 inches ,5 to 25 pounds ,12 to 15 years ,"6,11",2
Pomeranian,https://dogtime.com/dog-breeds/pomeranian,3,4,4,4,1,4,2,3,5,2,2,3,3,4,1,2,3,4,1,3,4,4,2,2,5,1,3,3,2,2,3,Companion Dogs,7 inches to 1 foot tall at the shoulder,3 to 7 pounds,12 to 16 years,"7,12",2
Pomsky,https://dogtime.com/dog-breeds/pomsky,3,5,2,4,1,5,3,3,5,2,3,3,3,4,1,2,3,3,2,4,3,4,3,4,5,2,3,4,2,3,4,Mixed Breed Dogs,10 to 15 inches,7 to 38 pounds,12 to 15 years,"10,15",2
Poochon,https://dogtime.com/dog-breeds/poochon,4,5,5,5,1,3,4,5,5,5,4,4,2,1,1,1,3,4,2,3,5,4,3,3,2,2,4,4,3,4,5,Mixed Breed Dogs,9 to 15 inches ,6 to 17 pounds ,12 to 15 years,"9,15",2
Poodle - Standard,https://dogtime.com/dog-breeds/poodle,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,Companion Dogs,15 to 24 inches tall at the shoulder,45 to 70 pounds,12 to 15 years,"15,24",3
