breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,height_range_in,size
Poodle - Small,https://dogtime.com/dog-breeds/poodle,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,Companion Dogs,11 to 14 inches tall at the shoulder,12 to 20 pounds,12 to 15 years,"11,14",2
Poodle - Tiny,https://dogtime.com/dog-breeds/poodle,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,4,5,Companion Dogs,9 to 11 inches tall at the shoulder,6 to 9 pounds,12 to 15 years,"9,11",1
Portuguese Podengo Pequeno,https://dogtime.com/dog-breeds/portuguese-podengo-pequeno,3,5,4,3,3,2,3,4,4,4,4,4,3,3,1,4,4,2,1,4,4,3,3,4,4,3,4,5,3,3,3,Hound Dogs,8 to 12 inches,9 to 13 pounds,12 to 15 years,"8,12",1
Portuguese Water Dog,https://dogtime.com/dog-breeds/portuguese-water-dog,3,4,3,4,2,4,3,5,5,5,5,3,2,1,1,2,4,3,3,4,4,5,5,3,3,3,5,5,3,5,5,Working Dogs,"1 foot, 5 inches to 1 foot, 11 inches tall at the shoulder",35 to 60 pounds,10 to 14 years,"17,23",3
Pug,https://dogtime.com/dog-breeds/pug,3,5,5,3,1,2,1,4,5,4,4,4,3,5,1,5,1,5,2,2,3,2,2,3,2,2,4,3,4,3,5,Companion Dogs,"10 inches to 1 foot, 2 inches tall at the shoulder",14 to 18 pounds,12 to 15 years,"10,14",2
Pugalier,https://dogtime.com/dog-breeds/pugalier,4,5,5,5,2,2,2,5,5,5,5,5,3,4,1,4,3,5,2,3,4,3,3,3,3,2,4,3,3,3,5,Mixed Breed Dogs,10 to 14 inches,10 to 20 pounds,12 to 15 years ,"10,14",2
Puggle,https://dogtime.com/dog-breeds/puggle,4,4,5,3,3,3,3,5,3,5,5,5,3,3,1,5,4,5,2,3,2,3,3,2,4,5,3,3,2,3,3,Hybrid Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",18 to 30 pounds,10 to 15 years,"13,15",2
Puli,https://dogtime.com/dog-breeds/puli,3,4,1,4,2,4,3,4,5,5,5,2,2,1,1,1,5,3,3,4,2,4,3,4,4,5,5,5,5,5,5,Herding Dogs,"1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder",25 to 35 pounds,10 to 15 years,"16,17",2
Pyrenean Shepherd,https://dogtime.com/dog-breeds/pyrenean-shepherd,3,5,2,4,1,4,3,4,5,5,2,2,2,3,1,3,2,3,2,3,2,4,3,4,5,2,5,4,5,5,5,Herding Dogs,"1 foot, 3 inches to 1 foot, 9 inches tall at the shoulder",25 to 30 pounds,15 to 17 years,"15,21",3
Rat Terrier,https://dogtime.com/dog-breeds/rat-terrier,3,5,3,4,3,1,4,4,4,5,3,4,3,4,1,5,4,3,1,3,5,4,2,4,1,4,5,5,4,4,5,Terrier Dogs,"1 foot, 1 inch to 1 foot, 4 inches tall at the shoulder",10 to 25 pounds,13 to 18 years,"13,16",2
Redbone Coonhound,https://dogtime.com/dog-breeds/redbone-coonhound,3,4,2,5,2,3,2,4,5,5,4,3,3,2,4,5,3,3,3,4,3,4,4,4,4,5,5,4,4,5,5,Hound Dogs,"1 foot, 9 inches to 2 feet, 3 inches tall at the shoulder",45 to 70 pounds,10 to 12 years,"21,27",4
Rhodesian Ridgeback,https://dogtime.com/dog-breeds/rhodesian-ridgeback,3,1,2,4,2,3,3,4,5,4,4,3,4,4,1,5,4,3,4,3,2,4,3,5,1,5,5,4,4,5,5,Hound Dogs,"2 feet to 2 feet, 3 inches tall at the shoulder",70 to 85 pounds,10 to 12 years,"24,27",5
Rottador,https://dogtime.com/dog-breeds/rottador,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5,5,Mixed Breed Dogs,24 to 27 inches,70 to 115 pounds,10 to 12 years,"24,27",5
Rottle - Medium,https://dogtime.com/dog-breeds/rottle,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,4,5,Mixed Breed Dogs,12 to 27 inches,60 to 90 pounds,9 to 15 years,,
Rottle - Small,https://dogtime.com/dog-breeds/rottle,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,4,5,Mixed Breed Dogs,12 to 27 inches,60 to 90 pounds,9 to 15 years,,
Rottweiler,https://dogtime.com/dog-breeds/rottweiler,2,2,1,4,1,2,3,4,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5,Working Dogs,"1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder",85 to 130 pounds,8 to 11 years,"22,27",5
Saint Berdoodle,https://dogtime.com/dog-breeds/saint-berdoodle,3,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,Mixed Breed Dogs,15 to 30 inches,40 to 180 pounds,8 to 12 years,"15,30",5
Saint Bernard,https://dogtime.com/dog-breeds/saint-bernard,3,3,2,4,1,5,1,5,5,5,5,5,4,4,5,2,2,4,5,2,2,4,3,1,1,2,3,3,2,2,4,Working Dogs,"2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder",120 to 180 pounds,8 to 10 years,"26,30",5
Saluki,https://dogtime.com/dog-breeds/saluki,2,1,2,5,1,2,3,4,5,4,4,1,3,2,1,4,4,1,4,4,4,4,4,5,1,5,4,5,2,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",35 to 70 pounds,12 to 14 years,"23,28",4
Samoyed,https://dogtime.com/dog-breeds/samoyed,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,4,3,3,3,5,3,4,4,5,2,5,5,Working Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",50 to 60 pounds,12 to 14 years,"19,24",4
Samusky,https://dogtime.com/dog-breeds/samusky,3,2,3,3,2,5,3,4,4,5,4,4,3,4,2,2,3,4,4,3,3,5,3,3,2,4,4,5,3,4,5,Mixed Breed Dogs,20 to 24 inches,45 to 60 pounds,12 to 15 years,"20,24",4
Schipperke,https://dogtime.com/dog-breeds/schipperke,3,4,4,4,3,3,2,3,4,5,2,2,3,3,1,5,4,5,1,3,2,4,3,2,4,5,5,5,3,5,5,Companion Dogs,"10 inches to 1 foot, 3 inches tall at the shoulder",11 to 18 pounds,13 to 15 years,"10,15",2
Schnoodle,https://dogtime.com/dog-breeds/schnoodle,3,3,5,4,2,2,4,4,4,5,3,3,3,2,1,4,3,4,4,3,4,5,3,3,2,3,4,4,3,4,4,Hybrid Dogs,"1 foot, 3 inches to 2 feet, 2 inches tall at the shoulder",20 to 75 pounds,10 to 15 years,"15,26",3
Scottish Deerhound,https://dogtime.com/dog-breeds/scottish-deerhound,3,1,1,3,2,4,4,4,5,4,2,5,3,5,1,2,3,4,5,3,2,3,4,5,1,4,5,5,5,5,5,Hound Dogs,"2 feet, 4 inches to 2 feet, 8 inches tall at the shoulder",75 to 110 pounds,8 to 11 years,"28,32",5
Scottish Terrier,https://dogtime.com/dog-breeds/scottish-terrier,3,4,2,4,3,4,3,4,5,4,4,4,2,2,1,2,4,3,2,3,1,4,3,3,4,5,4,4,4,4,4,Terrier Dogs,10 to 11 inches tall at the shoulder,18 to 22 pounds,11 to 13 years,"10,11",2
Sealyham Terrier,https://dogtime.com/dog-breeds/sealyham-terrier,4,4,4,4,2,4,3,4,4,4,4,3,3,4,3,1,5,3,2,3,3,4,2,2,2,3,4,4,2,4,4,Terrier Dogs,10 to 11 inches tall at the shoulder,22 to 24 pounds,12 to 14 years,"10,11",2
Sheepadoodle,https://dogtime.com/dog-breeds/sheepadoodle,4,4,4,5,2,4,3,5,5,5,4,4,3,1,1,3,4,4,4,3,3,5,3,1,2,2,4,4,3,4,5,Mixed Breed Dogs,16 to 22 inches,60 to 80 pounds,12 to 15 years,"16,22",3
Shepsky,https://dogtime.com/dog-breeds/shepsky,3,1,1,4,2,4,3,4,5,4,3,4,3,4,2,3,4,2,4,4,4,5,4,4,3,2,5,5,4,5,5,Mixed Breed Dogs,20 to 25 inches,45 to 88 pounds ,10 to 14 years ,"20,25",4
Shetland Sheepdog,https://dogtime.com/dog-breeds/shetland-sheepdog,3,2,3,5,2,4,3,5,5,5,4,5,3,5,1,2,4,3,1,3,5,5,1,3,1,2,4,4,2,4,4,Herding Dogs,"1 foot, 1 inch to 1 foot, 4 inches tall at the shoulder",Starts at 20 pounds,12 to 15 years,"13,16",2
Shiba Inu,https://dogtime.com/dog-breeds/shiba-inu,4,5,4,3,5,4,3,3,4,3,3,3,3,4,1,4,3,2,2,4,2,4,4,3,4,4,3,4,2,3,3,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",17 to 23 pounds,12 to 16 years,"13,17",2
Shichon,https://dogtime.com/dog-breeds/shichon,3,5,4,4,1,2,2,5,5,5,4,4,3,1,1,4,4,3,2,2,3,4,1,1,2,1,4,4,2,3,5,Mixed Breed Dogs,9 to 12 inches,9 to 15 pounds,12 to 18 years,"9,12",2
Shih-Poo,https://dogtime.com/dog-breeds/shih-poo,3,5,2,4,2,3,2,4,5,3,2,4,2,1,1,2,3,4,1,3,2,4,3,2,2,2,3,3,1,2,4,Mixed Breed Dogs,8 to 18 inches ,8 to 18 pounds ,13 to 17+ years ,"8,18",2
Shih Tzu,https://dogtime.com/dog-breeds/shih-tzu,3,5,5,3,3,3,1,5,5,4,4,5,2,3,1,1,3,4,1,3,3,4,4,4,2,2,3,2,3,2,4,Companion Dogs,9 to 10 inches tall at the shoulder,9 to 16 pounds,10 to 16 years,"9,10",2
Shiranian,https://dogtime.com/dog-breeds/shiranian,3,4,4,4,2,2,1,4,5,3,3,4,2,2,2,2,2,3,2,2,2,4,1,1,2,2,3,2,3,2,4,Mixed Breed Dogs,7 to 12 inches,4 to 16 pounds ,12 to 16 years,"7,12",1
Shollie,https://dogtime.com/dog-breeds/shollie,3,1,2,3,2,4,4,3,4,4,3,2,3,4,2,3,3,4,4,4,4,4,3,3,3,4,4,5,4,4,4,Mixed Breed Dogs,21 to 29 inches,70 to 80 pounds,13 to 15 years,"21,29",4
Shorkie,https://dogtime.com/dog-breeds/shorkie,3,5,3,3,1,2,2,3,4,3,2,3,2,2,1,4,2,3,1,3,2,3,2,4,4,3,4,4,3,2,5,Mixed Breed Dogs,6 to 14 inches,5 to 15 pounds ,11 to 16 years ,"6,14",1
Siberian Husky,https://dogtime.com/dog-breeds/siberian-husky,3,2,1,4,1,5,3,5,5,5,5,5,3,3,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5,5,Working Dogs,"1 foot, 8 inches to 1 foot, 11 inches tall at the shoulder",35 to 60 pounds,12 to 15 years,"20,23",3
Silken Windhound,https://dogtime.com/dog-breeds/silken-windhound,4,4,4,4,2,4,4,4,5,4,3,4,3,2,2,4,4,2,3,4,5,4,3,5,1,4,4,4,2,4,5,Hound Dogs,18 to 23.5 inches,20 to 55 pounds,14 to 20 years,"18,23.5",3
Silky Terrier,https://dogtime.com/dog-breeds/silky-terrier,3,5,3,3,3,1,4,3,4,3,2,3,3,2,1,4,4,3,1,4,4,4,2,5,4,3,4,4,4,3,4,Companion Dogs,9 inches to 10 inches tall at the shoulder,8 to 10 pounds,12 to 15 years,"9,10",1
Skye Terrier,https://dogtime.com/dog-breeds/skye-terrier,4,4,4,3,2,4,4,4,4,4,2,5,3,3,1,3,5,3,2,4,2,4,3,4,4,4,4,3,4,3,4,Terrier Dogs,9 inches to 10 inches tall at the shoulder,25 to 40 pounds,12 to 14 years,"9,10",2
Sloughi,https://dogtime.com/dog-breeds/sloughi,3,4,2,4,3,2,3,4,5,5,4,3,3,3,1,5,3,2,4,3,3,4,3,5,2,3,4,5,3,5,3,Hound Dogs,"2 feet to 2 feet, 5 inches tall at the shoulder",40 to 63 pounds,12 to 16 years,"24,29",5
Small Munsterlander Pointer,https://dogtime.com/dog-breeds/small-munsterlander-pointer,3,1,2,3,4,5,3,5,5,5,5,4,3,3,1,3,5,3,3,4,5,5,3,5,3,4,5,4,5,5,4,Sporting Dogs,"1 foot, 7 inches to 1 foot, 10 inches tall at the shoulder",40 to 60 pounds,12 to 14 years,"19,22",4
Soft Coated Wheaten Terrier,https://dogtime.com/dog-breeds/soft-coated-wheaten-terrier,3,5,4,4,2,2,3,5,5,5,5,5,3,2,1,3,4,3,3,3,4,4,2,3,3,4,4,4,3,4,5,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",30 to 40 pounds,12 to 15 years,"17,19",3
Spanish Mastiff,https://dogtime.com/dog-breeds/spanish-mastiff,3,2,1,3,3,4,3,3,4,4,2,2,3,3,2,3,4,3,5,2,2,4,2,1,1,2,3,3,2,3,4,Working Dogs,26 to 35 inches,140 to 220 pounds,10 to 12 years,"26,35",5
Spinone Italiano,https://dogtime.com/dog-breeds/spinone-italiano,4,4,4,5,2,4,3,5,5,5,5,5,3,3,4,2,3,2,4,3,4,4,2,4,2,2,4,4,2,4,4,Sporting Dogs,22 to 28 inches,61 to 86 pounds,10 to 14 years,"22,28",4
Springador,https://dogtime.com/dog-breeds/springador,3,2,3,4,1,4,4,3,4,3,3,3,3,1,2,4,4,4,4,4,5,5,2,4,3,4,4,4,3,4,4,Mixed Breed Dogs,18 to 24 inches,50 to 90 pounds,10 to 14 years,"18,24",4
Stabyhoun,https://dogtime.com/dog-breeds/stabyhoun,3,2,3,4,3,2,2,4,5,5,4,3,3,3,1,3,5,3,3,4,5,5,1,4,3,3,4,3,4,4,5,Sporting Dogs,"1 foot, 7 inches to 1 foot, 8 inches tall at the shoulder",45 to 50 pounds,13 to 14 years,"19,20",3
Staffordshire Bull Terrier,https://dogtime.com/dog-breeds/staffordshire-bull-terrier,2,3,1,4,2,3,1,4,5,5,1,5,3,3,3,5,3,4,2,3,2,3,2,2,3,4,4,3,3,4,5,Terrier Dogs,"1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder",24 to 38 pounds,12 to 14 years,"14,16",2
Standard Schnauzer,https://dogtime.com/dog-breeds/standard-schnauzer,3,4,2,4,2,4,4,3,4,4,3,2,2,1,1,2,5,1,3,4,3,5,3,5,2,5,5,5,3,5,5,Working Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 50 pounds,13 to 16 years,"17,20",3
Sussex Spaniel,https://dogtime.com/dog-breeds/sussex-spaniel,4,5,5,5,1,5,5,5,5,5,5,5,3,3,1,4,4,5,2,3,3,5,2,1,4,1,2,2,1,2,4,Sporting Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",35 to 45 pounds,11 to 14 years,"13,15",2
Swedish Vallhund,https://dogtime.com/dog-breeds/swedish-vallhund,3,3,1,3,3,4,3,4,5,4,3,5,4,4,1,5,4,4,3,3,5,5,2,4,1,3,5,5,3,5,5,Herding Dogs,"11 inches to 1 foot, 1 inch tall at the shoulder",22 to 35 pounds,12 to 15 years,"11,13",2
Terripoo,https://dogtime.com/dog-breeds/terripoo,3,5,5,2,1,3,4,4,5,4,3,3,2,1,1,3,3,3,1,4,4,5,2,4,3,3,4,5,3,4,5,Mixed Breed Dogs,9 to 15 inches,10 to 14 pounds,10 to 15 years,"9,15",2
Texas Heeler,https://dogtime.com/dog-breeds/texas-heeler,3,2,3,3,3,4,3,3,4,3,3,3,3,4,2,3,3,5,3,4,3,5,4,3,2,4,4,5,3,5,4,Mixed Breed Dogs,16 to 22 inches,25 to 50 pounds,12 to 15 years,"16,22",3
Tibetan Mastiff,https://dogtime.com/dog-breeds/tibetan-mastiff,3,1,1,5,1,5,2,4,5,5,5,2,3,2,2,4,3,4,5,3,1,5,5,3,2,3,3,4,2,2,5,Working Dogs,"2 feet to 2 feet, 2 inches tall at the shoulder",75 to 160 pounds,10 to 14 years,"24,26",5
Tibetan Spaniel,https://dogtime.com/dog-breeds/tibetan-spaniel,3,5,4,5,1,1,2,4,5,5,4,3,3,3,1,4,5,3,1,4,4,4,3,3,4,3,4,3,3,4,4,Companion Dogs,From 10 inches tall at the shoulder,9 to 15 pounds,12 to 15 years,10,2
Tibetan Terrier,https://dogtime.com/dog-breeds/tibetan-terrier,4,5,3,4,1,4,4,4,5,5,4,3,2,1,1,1,5,3,2,3,4,4,2,2,2,3,5,5,4,5,5,Companion Dogs,"1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder",20 to 24 pounds,12 to 15 years,"14,16",2
Toy Fox Terrier,https://dogtime.com/dog-breeds/toy-fox-terrier,3,5,3,4,1,2,3,4,5,4,3,3,3,4,1,5,5,2,1,4,3,4,2,5,4,4,5,5,4,5,5,Companion Dogs,8 to 11 inches at the shoulder,3 to 7 pounds,13 to 14 years,"8,11",1
Treeing Tennessee Brindle,https://dogtime.com/dog-breeds/treeing-tennessee-brindle,2,1,2,3,2,3,3,4,4,4,4,3,4,4,3,5,4,3,3,3,3,4,3,4,1,1,4,4,4,5,3,Hound Dogs,"1 foot, 4 inches to 2 feet tall at the shoulder",30 to 45 pounds,10 to 12 years,"16,24",4
Treeing Walker Coonhound,https://dogtime.com/dog-breeds/treeing-walker-coonhound,3,1,2,5,2,3,3,4,4,4,3,3,4,3,2,5,4,3,4,4,2,4,3,4,5,5,4,4,4,5,3,Hound Dogs,"1 foot, 8 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,12 to 13 years,"20,27",4
Valley Bulldog,https://dogtime.com/dog-breeds/valley-bulldog,3,4,3,4,2,1,1,4,5,4,3,4,4,4,3,5,3,4,4,3,3,3,2,3,4,1,4,4,4,4,4,Mixed Breed Dogs,12 to 25 inches,50 to 125 pounds ,8 to 12 years,"12,25",5
Vizsla,https://dogtime.com/dog-breeds/vizsla,3,1,3,5,1,1,4,5,5,5,5,5,3,2,1,5,4,2,3,4,5,4,4,2,5,5,5,5,4,5,5,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",45 to 65 pounds,10 to 14 years,"21,24",4
Weimaraner,https://dogtime.com/dog-breeds/weimaraner,3,1,2,5,1,3,4,4,5,4,3,3,4,4,4,5,3,2,4,4,4,5,5,5,2,5,5,5,5,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",55 to 85 pounds,11 to 13 years,"23,24",4
Welsh Springer Spaniel,https://dogtime.com/dog-breeds/welsh-springer-spaniel,4,4,4,5,1,4,4,4,5,5,4,3,3,3,1,4,4,4,3,4,5,5,3,3,5,5,5,5,4,5,4,Sporting Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",35 to 55 pounds,10 to 15 years,"17,19",3
Welsh Terrier,https://dogtime.com/dog-breeds/welsh-terrier,3,3,3,3,2,2,2,5,4,5,5,4,3,2,1,2,5,3,2,4,3,5,2,5,4,4,5,5,5,5,5,Terrier Dogs,"1 foot, 2 inches to 1 foot, 3 inches tall at the shoulder",Up to 20 pounds,10 to 14 years,"14,15",2
West Highland White Terrier,https://dogtime.com/dog-breeds/west-highland-white-terrier,4,4,4,4,2,4,3,4,5,4,5,3,3,4,1,3,3,4,2,4,4,4,2,4,4,3,4,4,4,4,4,Terrier Dogs,10 inches to 11 inches tall at the shoulder,13 to 22 pounds,12 to 16 years,"10,11",2
Westiepoo,https://dogtime.com/dog-breeds/westiepoo,3,3,4,4,1,3,3,4,4,4,4,4,3,1,1,5,4,4,2,4,4,4,3,4,3,3,4,4,4,4,5,Mixed Breed Dogs,11 to 17 inches,20 to 35 pounds,12 to 15 years,"11,17",2
Whippet,https://dogtime.com/dog-breeds/whippet,3,5,3,5,2,1,4,5,5,5,4,4,3,2,1,5,4,1,3,4,4,4,4,5,1,4,4,5,2,5,5,Hound Dogs,"1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder",18 to 48 pounds,12 to 15 years,"18,22",4
Whoodle,https://dogtime.com/dog-breeds/whoodle,3,4,1,3,1,4,2,4,4,4,3,4,3,2,1,3,4,2,3,2,2,4,1,2,1,3,4,4,4,4,4,Mixed Breed Dogs,12 to 20 inches,20 to 45 pounds,12 to 15 years,"12,20",3
Wirehaired Pointing Griffon,https://dogtime.com/dog-breeds/wirehaired-pointing-griffon,3,1,3,4,1,4,3,5,5,5,4,5,3,1,1,3,4,3,3,4,5,5,3,4,4,4,4,5,3,4,5,Sporting Dogs,"1 foot, 8 inches to 2 feet tall at the shoulder",50 to 60 pounds,10 to 14 years,"20,24",4
Xoloitzcuintli,https://dogtime.com/dog-breeds/xoloitzuintli,3,5,1,5,1,3,3,3,5,3,2,1,4,5,1,5,5,3,3,4,3,5,3,5,5,5,3,3,3,3,3,Companion Dogs,"1 foot, 6 inches to 1 foot, 11 inches tall at the shoulder",10 to 50 pounds,14 to 20 years,"18,23",4
Yorkipoo,https://dogtime.com/dog-breeds/yorkipoo,4,5,5,4,3,2,3,4,5,4,3,2,2,1,1,4,3,2,1,4,4,4,3,3,5,2,4,5,3,3,4,Hybrid Dogs,"7 inches to 1 foot, 3 inches tall at the shoulder",3 to 14 pounds,10 to 15 years,"7,15",2
Yorkshire Terrier,https://dogtime.com/dog-breeds/yorkshire-terrier,3,5,4,5,2,2,2,3,4,2,3,2,2,2,1,1,4,2,1,3,3,3,2,2,3,3,5,5,4,4,5,Companion Dogs,8 inches to 9 inches tall at the shoulder,4 to 6 pounds,12 to 15 years,"8,9",1
