breed,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,size
Afador,2,1,1,3,3,4,2,3,4,2,3,1,3,4,3,2,3,4,4,4,1,5,4,4,4,4,4,4,4,4,3,5
Affenhuahua,3,4,4,4,1,2,3,3,4,3,2,2,3,2,1,4,4,5,1,3,3,3,4,2,4,2,3,4,3,3,3,1
Affenpinscher,3,5,4,3,1,3,3,3,5,1,4,3,2,1,1,3,4,3,1,3,2,4,4,3,2,2,4,4,3,3,4,1
Afghan Hound,4,5,3,5,2,5,5,4,5,5,4,2,2,4,1,1,3,1,4,3,1,4,3,5,2,5,4,5,2,4,4,3
Airedale Terrier,2,1,2,3,2,3,3,4,4,4,4,3,3,2,1,2,3,4,3,5,4,5,5,5,4,4,5,5,3,5,5,4
Akbash,3,1,2,3,4,4,2,4,5,4,3,2,4,4,2,3,4,4,4,3,3,4,3,1,3,1,2,2,2,2,3,5
Akita,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5,1,4,4,4,4,2,3,3,4,5,4,4,4,3,4,5,5
Alaskan Klee Kai,3,3,2,4,2,5,2,3,4,3,2,2,3,4,2,4,4,2,2,4,4,4,2,5,3,4,4,4,2,4,4,2
Alaskan Malamute,2,1,1,4,1,5,2,4,4,3,2,5,3,5,1,1,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5,5
American Bulldog,2,1,1,4,1,2,2,3,5,4,2,2,3,1,4,4,3,2,4,3,4,3,2,4,2,3,4,4,4,4,4,5
American English Coonhound,3,1,2,5,2,4,4,5,5,5,4,5,3,3,1,5,4,3,3,5,5,4,3,5,5,5,5,5,5,5,5,3
American Eskimo Dog,4,5,4,4,2,5,3,5,5,5,5,4,3,5,1,3,5,4,2,4,5,4,3,3,4,3,4,5,3,4,5,3
American Foxhound,2,1,2,2,1,4,4,5,4,5,5,4,4,3,1,5,5,5,3,4,2,3,3,4,5,5,5,5,4,5,5,4
American Leopard Hound,3,2,4,3,3,4,4,4,5,4,4,3,3,2,2,4,4,2,4,4,4,4,3,4,4,4,4,4,3,4,4,4
American Pit Bull Terrier,3,3,2,4,1,2,3,4,5,5,1,5,3,4,1,5,4,3,3,4,4,4,5,3,3,4,5,4,5,4,5,3
American Pugabull,3,3,3,4,1,2,3,4,5,4,3,3,3,3,3,4,2,3,3,3,3,3,2,4,4,2,4,4,4,3,5,3
American Staffordshire Terrier,2,2,2,3,2,2,3,4,4,4,2,4,3,2,3,4,3,2,3,4,4,4,5,3,4,3,4,3,5,3,4,3
American Water Spaniel,3,2,2,5,1,2,4,4,5,5,2,3,3,3,1,3,3,3,3,4,4,3,5,2,3,5,4,5,2,5,5,3
Anatolian Shepherd Dog,3,1,2,4,3,5,3,2,3,2,2,1,3,2,3,4,3,3,5,3,4,4,2,2,2,4,3,3,3,3,3,5
Appenzeller Sennenhunde,3,1,3,3,1,5,4,4,5,5,3,2,3,3,1,5,4,3,3,4,4,4,5,3,5,3,4,4,4,5,4,3
Auggie,3,2,3,4,3,4,3,5,5,5,5,4,3,4,1,2,3,4,3,4,5,5,3,3,4,3,5,5,4,5,5,2
Aussiedoodle,3,2,3,3,2,3,3,4,5,4,4,4,4,3,4,3,4,4,3,4,5,5,3,3,2,3,5,5,4,5,5,2
Aussiepom,3,3,2,3,2,3,3,4,4,3,4,4,3,3,2,2,4,4,3,3,4,4,4,2,3,2,4,5,3,4,5,2
Australian Cattle Dog,3,2,1,4,3,4,4,4,5,3,4,2,3,3,1,4,5,4,3,4,5,5,5,4,2,4,5,5,5,5,5,3
Australian Kelpie,3,2,2,4,2,3,5,3,4,2,3,2,3,3,1,4,3,2,3,5,5,5,5,4,4,4,4,5,3,5,4,3
Australian Retriever,3,1,4,3,2,4,4,4,4,4,3,3,3,3,2,3,4,4,4,3,4,4,2,3,2,4,4,5,3,5,4,3
Australian Shepherd,3,1,2,5,2,4,4,4,5,4,5,3,2,3,1,1,2,4,3,5,5,5,4,4,4,5,5,5,4,5,5,3
Australian Shepherd Husky,3,1,2,4,1,5,4,3,5,3,2,2,3,4,2,3,3,4,4,4,4,5,3,4,5,5,5,5,5,5,5,3
Australian Shepherd Lab Mix,4,2,2,5,4,5,4,4,4,4,4,4,4,4,2,4,4,3,4,4,5,5,4,3,3,5,5,5,5,5,5,4
Australian Shepherd Pit Bull Mix,3,2,3,3,2,3,3,4,4,4,3,3,4,4,2,3,4,5,4,3,4,4,3,4,2,3,4,4,3,4,4,3
Australian Terrier,3,5,3,2,2,3,4,3,4,3,2,3,3,1,1,5,5,3,1,4,3,4,1,5,5,4,5,5,5,4,5,2
Azawakh,3,5,2,3,3,1,5,3,4,2,3,2,3,3,1,5,3,3,3,3,3,3,3,4,1,2,3,3,2,4,3,4
Barbet,3,3,2,3,1,4,4,4,5,4,4,3,2,2,1,1,4,3,3,3,4,4,2,3,3,3,4,5,3,3,4,4
Basenji,4,5,4,3,4,1,4,5,5,5,4,5,3,1,5,5,2,2,2,4,1,4,5,5,1,5,3,5,1,5,2,3
Bassador,3,2,2,3,3,4,4,3,3,3,3,3,4,5,4,3,3,3,4,3,2,3,2,4,3,3,3,3,2,4,3,3
Basset Fauve de Bretagne,3,4,4,3,3,3,1,4,5,4,4,3,3,2,1,4,5,1,2,3,3,5,3,3,2,1,3,4,2,4,3,2
Basset Hound,3,5,4,4,3,2,2,5,5,5,5,5,4,4,4,5,1,5,2,4,2,4,3,5,4,5,2,2,2,2,2,2
Basset Retriever,3,3,3,2,2,4,4,4,4,4,3,4,3,2,2,4,4,4,3,4,4,5,3,5,2,4,4,4,2,4,4,2
Bavarian Mountain Scent Hound,2,2,3,2,2,2,3,4,5,4,3,2,3,1,2,3,4,2,3,3,3,4,2,4,2,2,4,4,2,4,4,3
Beabull,3,4,3,4,4,2,2,4,5,5,4,3,4,4,3,5,3,4,3,4,3,3,4,4,4,4,4,3,4,3,5,2
Beagle,3,4,3,4,1,2,4,5,5,5,5,5,3,3,1,4,1,5,2,4,1,4,3,5,5,5,5,4,5,4,5,2
Beaglier,3,5,4,4,1,2,3,5,5,5,5,5,3,3,1,4,2,5,2,3,2,4,3,3,4,4,4,3,3,4,5,2
Bearded Collie,3,3,4,4,2,4,3,5,5,4,5,4,3,4,1,2,3,4,3,4,5,4,3,3,3,5,4,4,4,4,5,4
Bedlington Terrier,4,4,4,3,3,4,3,5,5,4,4,5,3,5,1,1,4,3,3,4,3,5,4,5,3,4,4,4,2,4,5,3
Belgian Malinois,3,1,3,5,3,4,4,4,5,4,2,3,3,2,1,5,4,2,4,4,5,5,3,4,2,3,5,5,4,5,5,4
Belgian Sheepdog,4,3,3,5,3,4,3,5,4,5,5,4,3,5,1,3,3,2,4,4,5,5,2,5,1,4,5,5,3,5,5,4
Belgian Tervuren,3,3,3,5,1,4,3,3,4,3,3,3,3,4,1,3,3,2,4,4,5,5,2,2,5,4,4,5,3,4,5,4
Berger Picard,4,3,4,5,3,4,3,4,5,5,3,2,4,4,1,5,5,3,4,3,4,4,2,3,2,2,5,5,3,5,5,4
Bernedoodle - Standard,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,4
Bernedoodle - Small,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,3
Bernedoodle - Tiny,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,2
Bernese Mountain Dog,2,1,2,4,1,5,1,5,5,5,3,5,4,5,4,3,1,4,5,4,4,4,5,5,4,3,4,4,3,3,4,5
Bichon Frise,4,5,5,5,1,3,4,5,5,4,4,5,2,2,1,1,4,4,2,3,5,4,3,4,2,2,4,5,3,3,5,2
Biewer Terrier,3,5,3,3,3,2,3,4,5,4,3,3,2,1,1,4,4,3,1,3,3,4,3,1,3,1,4,5,3,3,4,1
Black and Tan Coonhound,3,1,2,3,2,4,4,5,5,5,5,5,4,5,3,4,5,5,3,4,2,5,1,5,5,5,5,5,5,5,5,5
Black Mouth Cur,3,1,2,4,2,3,3,4,5,5,3,3,3,3,2,5,4,2,4,4,3,4,3,5,4,4,4,4,3,5,4,4
Black Russian Terrier,3,3,2,4,1,4,3,4,5,5,2,3,3,2,3,2,3,3,5,4,4,4,4,3,3,3,5,4,5,4,5,5
Bloodhound,3,1,2,4,2,3,3,5,5,5,5,5,3,4,5,1,3,3,4,4,3,4,5,3,4,5,4,5,4,5,3,5
Blue Lacy,3,1,1,4,2,4,5,3,4,3,2,2,3,3,2,5,4,2,3,5,5,5,4,5,5,4,5,5,5,5,4,4
Bluetick Coonhound,3,2,2,5,2,3,3,4,5,5,3,3,3,2,2,5,4,3,3,4,2,4,3,4,4,5,5,5,4,5,5,4
Bocker,4,5,3,5,1,3,4,4,5,4,4,4,3,3,1,3,3,4,2,5,4,4,4,5,5,5,4,4,3,4,4,2
Boerboel,2,1,1,3,2,3,4,3,4,4,2,2,4,3,4,4,4,3,5,3,2,4,3,3,3,4,4,3,4,4,4,5
Boglen Terrier,3,4,4,4,2,2,3,5,5,5,5,5,3,2,1,4,3,3,2,4,2,2,4,4,4,5,5,4,5,4,5,2
Bolognese,3,5,3,5,2,2,3,5,5,5,5,5,2,1,1,1,5,3,1,4,5,4,4,5,4,1,3,3,3,4,3,2
Borador,3,3,3,2,2,3,3,4,5,4,4,4,4,4,3,3,3,4,4,3,4,5,3,3,2,3,4,4,3,4,5,4
Border Collie,3,2,2,5,1,4,4,4,5,4,3,5,3,3,1,3,2,3,3,4,5,5,3,3,2,3,5,5,3,5,5,3
Border Sheepdog,3,2,3,2,2,4,2,4,5,4,3,3,3,3,1,3,4,2,3,4,4,5,4,3,4,2,4,5,3,5,4,3
Border Terrier,3,4,3,3,1,4,3,4,5,4,2,5,3,3,1,2,4,5,2,4,3,5,5,5,1,4,5,4,4,5,5,2
Bordoodle,4,4,4,3,3,4,4,4,4,5,3,2,3,2,2,4,4,3,3,3,4,5,3,2,2,3,3,3,2,3,4,3
Borzoi,4,5,3,5,1,4,3,4,4,3,4,4,4,5,1,4,4,2,5,4,3,4,3,5,2,4,2,2,2,2,3,5
BoShih,3,5,4,3,1,2,2,3,4,2,3,4,3,2,1,5,3,3,2,2,2,3,1,1,2,2,3,3,2,3,5,2
Bossie,3,2,2,3,5,3,3,4,4,4,4,4,3,2,1,3,3,3,3,4,4,4,3,3,3,5,5,4,4,5,5,3
Boston Boxer,3,4,3,3,2,3,3,4,4,4,4,2,4,3,3,4,4,4,3,3,3,4,3,3,3,2,4,4,3,4,5,3
Boston Terrier,4,5,4,5,3,3,2,5,4,5,5,4,3,2,1,5,4,3,2,3,4,4,2,2,3,5,5,4,5,4,5,2
Bouvier des Flandres,3,3,2,4,2,4,2,4,5,5,2,2,3,1,1,2,3,4,4,3,5,4,2,2,4,2,4,4,5,4,4,5
Boxador,2,2,2,3,1,2,2,4,5,4,4,4,4,4,2,5,2,4,4,4,5,5,3,2,3,3,5,5,5,5,5,4
Boxer,3,4,3,4,1,2,1,4,5,4,3,4,3,4,2,5,2,4,3,3,4,4,2,3,3,3,5,5,5,5,5,4
Boxerdoodle - Standard,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,3
Boxerdoodle - Small,3,1,3,3,2,3,3,4,4,3,4,3,3,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5,2
Boxmatian,2,1,2,3,2,2,4,3,4,3,2,1,4,3,2,3,5,4,5,4,3,4,4,3,3,4,5,5,4,5,4,4
Boxweiler,3,2,3,4,2,3,2,4,5,4,4,2,3,3,2,3,3,4,4,3,4,4,2,2,3,1,4,4,3,4,4,4
Boykin Spaniel,3,1,3,4,3,3,4,4,5,5,4,3,3,4,1,1,2,4,3,4,4,4,4,2,3,4,5,5,5,5,4,3
Bracco Italiano,3,1,2,4,3,3,3,4,5,4,5,3,3,3,2,5,2,3,4,3,3,4,2,5,2,3,4,4,4,5,4,4
Braque du Bourbonnais,2,1,3,3,2,2,3,4,5,4,4,4,3,2,1,4,4,1,3,3,4,4,3,4,3,2,4,5,2,5,3,4
Briard,3,3,3,4,3,4,3,4,4,5,5,2,2,1,1,1,3,3,4,4,4,4,2,3,4,5,4,4,4,4,4,5
Brittany,3,1,3,5,1,4,3,5,5,5,5,4,4,3,5,3,4,3,3,4,3,5,3,5,3,4,5,5,3,5,5,3
Broholmer,3,2,4,3,3,3,3,4,5,4,3,3,4,3,2,4,4,3,5,3,4,4,3,2,3,2,3,3,3,3,3,5
Brussels Griffon,3,5,2,5,1,1,2,4,5,4,4,3,3,3,3,3,3,3,1,3,3,4,3,1,4,5,4,5,3,4,5,1
Bugg,3,5,4,3,2,2,3,3,4,3,2,3,3,2,2,4,4,4,2,3,3,4,4,3,4,2,3,4,3,2,4,3
Bull-Pei,2,4,2,3,3,1,1,2,3,2,2,2,4,4,3,4,3,4,3,2,3,2,4,2,2,1,2,2,2,2,2,3
Bull Terrier,3,4,4,5,2,1,4,5,5,5,4,5,3,3,1,5,4,5,2,4,5,4,4,4,1,5,5,4,5,5,5,4
Bullador,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,2,4,4,3,4,4,4,4,4,3
Bullboxer Pit,2,1,2,3,2,2,2,3,4,4,2,2,4,4,4,4,4,4,3,4,2,4,4,5,4,3,5,5,5,5,4,3
Bulldog,3,5,4,4,3,1,1,4,5,4,2,5,4,3,5,5,4,5,2,2,3,2,2,2,4,1,3,2,3,3,4,2
Bullmastiff,3,3,2,4,2,4,2,4,5,5,4,3,4,1,5,5,2,5,5,3,3,3,3,3,4,3,4,2,4,3,5,5
Bullmatian,2,2,1,3,3,2,2,4,4,5,4,3,3,2,3,4,4,4,3,3,1,4,3,3,2,3,4,5,4,4,4,3
Cairn Terrier,4,5,4,3,1,4,4,5,5,5,4,4,3,3,1,5,4,3,1,4,2,5,3,4,4,3,5,5,4,4,5,2
Canaan Dog,4,4,4,4,3,3,5,3,4,2,3,2,3,4,1,5,5,2,3,3,5,4,3,3,3,2,4,4,3,3,4,4
Cane Corso,2,1,1,3,1,3,4,3,4,2,3,2,4,3,4,5,3,4,4,4,4,5,2,5,3,2,4,4,3,5,2,5
Cardigan Welsh Corgi,4,4,4,4,3,4,3,4,5,4,3,3,3,4,1,3,4,4,2,3,4,5,2,4,2,3,3,3,3,3,4,2
Catahoula Bulldog,2,1,1,2,3,1,5,3,4,3,2,1,3,1,1,5,4,3,4,3,2,3,4,5,3,3,5,5,5,5,4,5
Catahoula Leopard Dog,2,1,1,2,2,3,3,3,5,3,1,1,3,3,1,5,3,3,4,3,2,3,3,1,3,3,4,4,3,5,2,4
Caucasian Shepherd Dog,3,2,1,2,3,5,2,3,4,2,2,2,4,4,4,2,3,4,5,3,2,4,4,3,3,2,3,2,4,2,3,5
Cav-a-Jack,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2,4,3,4,2,4,4,4,3,4,3,3,4,4,3,4,5,2
Cavachon,4,5,5,5,1,3,3,5,5,5,5,5,3,2,1,2,4,4,2,3,4,4,3,4,3,2,4,4,3,4,5,2
Cavador,3,3,5,4,2,3,3,4,5,5,4,3,3,3,2,4,4,4,3,3,4,4,2,3,3,3,4,4,3,4,5,4
Cavalier King Charles Spaniel,4,5,5,5,1,3,2,5,5,5,5,5,3,3,1,4,4,4,2,3,4,4,3,3,3,2,4,3,2,4,5,2
Cavapoo,3,3,3,3,2,4,3,5,5,5,4,4,3,2,1,3,3,4,2,3,4,4,3,3,2,3,3,3,2,3,5,2
Cesky Terrier,4,5,4,4,3,3,3,3,5,3,2,3,3,1,1,4,5,4,2,3,4,3,3,2,3,3,3,2,3,3,5,2
Chabrador,3,4,2,4,3,4,1,3,4,4,2,2,4,4,3,4,4,3,3,3,2,4,4,4,3,3,4,3,4,3,4,4
Cheagle,3,4,4,4,1,1,2,3,5,3,3,2,3,3,1,5,3,4,2,3,2,4,3,4,4,3,4,4,4,3,4,2
Chesapeake Bay Retriever,3,1,1,3,2,4,4,3,5,3,1,1,4,5,3,5,4,4,3,3,3,4,3,3,3,4,5,5,5,5,4,4
Chi Chi,3,4,2,4,2,2,3,3,3,3,2,3,3,2,1,4,4,4,2,3,3,4,3,3,4,2,4,4,4,3,4,2
Chi-Poo,4,5,5,5,4,2,3,4,5,5,3,3,2,2,1,3,2,3,2,4,5,5,3,3,3,3,3,3,2,2,4,2
Chigi,3,3,4,5,2,3,2,4,5,5,2,2,3,4,1,5,3,3,1,3,4,4,2,3,2,3,4,4,4,4,4,2
Chihuahua,3,5,4,5,1,1,2,4,5,5,2,2,2,2,1,5,2,3,1,3,4,4,3,3,3,2,3,3,2,1,4,1
Chilier,3,4,2,4,2,2,2,4,4,4,4,3,3,2,3,4,4,3,2,3,2,4,3,3,3,2,4,4,4,3,4,2
Chinese Crested,3,5,3,5,1,1,3,4,4,5,4,4,2,2,1,2,5,2,2,3,4,3,4,3,3,1,2,2,1,2,3,2
Chinese Shar-Pei,3,4,2,2,4,2,1,2,2,2,1,2,3,5,2,5,1,4,3,3,3,2,5,2,5,2,2,2,1,3,1,3
Chinook,3,4,1,5,1,5,4,5,5,5,5,4,3,5,1,2,4,3,4,3,4,5,3,2,2,2,3,3,3,3,4,4
Chion,3,4,3,3,2,2,3,3,5,3,3,2,3,2,2,3,4,4,2,3,3,3,4,3,4,1,3,4,3,2,4,1
Chipin,3,5,4,5,1,1,2,3,5,4,2,2,3,2,1,5,3,4,1,3,4,3,2,3,2,3,4,4,3,2,5,2
Chiweenie,3,5,3,4,2,1,4,3,4,2,3,2,3,1,1,5,3,4,1,3,2,4,2,3,5,2,4,4,2,4,5,1
Chorkie,3,5,5,5,1,1,2,3,4,3,3,2,2,2,1,3,3,2,1,3,3,3,2,2,4,2,4,4,3,3,5,1
Chow Chow,3,3,2,2,5,5,2,1,2,1,1,1,3,1,3,1,2,4,4,2,2,1,5,2,1,2,2,2,2,2,1,3
Chow Shepherd,3,3,2,4,2,5,4,3,3,3,2,2,3,5,2,1,3,2,4,3,3,3,3,3,2,3,5,5,4,5,4,4
Chug,3,5,3,3,3,2,3,4,5,4,3,3,3,4,2,4,4,4,1,3,3,3,3,2,2,2,4,4,3,3,4,2
Chusky,3,2,2,3,3,5,2,4,4,4,3,3,3,5,2,2,3,3,3,3,3,4,3,3,4,2,4,4,3,4,4,4
Cirneco dellâ€™Etna,3,4,3,3,3,3,3,4,5,5,4,3,3,2,1,4,5,2,3,3,3,3,2,4,3,1,3,4,2,3,4,3
Clumber Spaniel,4,5,5,4,2,5,2,4,5,3,4,3,4,5,5,1,2,5,3,4,4,3,5,5,1,4,3,3,1,2,5,3
Cockalier,3,4,4,4,2,2,2,4,5,5,4,3,3,2,1,4,4,3,2,3,4,4,2,3,2,2,4,4,2,4,5,2
Cockapoo - Standard,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,3
Cockapoo - Small,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,2
Cockapoo - Tiny,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,2
Cocker Spaniel,4,5,3,5,1,4,3,4,5,3,4,3,3,3,1,1,4,4,2,4,5,4,4,5,3,4,3,4,2,3,4,2
Collie,4,3,4,5,2,4,3,5,5,5,4,4,3,5,1,2,3,3,3,3,4,4,3,4,4,1,3,3,2,3,4,4
Corgi Inu,3,4,3,3,3,4,2,3,3,3,3,2,3,5,2,2,3,3,2,3,4,4,3,3,3,2,4,4,3,4,4,2
Corgidor,3,3,2,4,3,3,3,4,5,4,3,4,4,5,2,4,4,4,3,3,4,5,3,3,2,3,4,5,3,4,5,3
Corman Shepherd,3,2,2,3,3,4,3,4,4,4,4,3,3,5,2,3,3,4,3,3,4,5,3,3,3,2,4,4,3,4,4,2
Coton de Tulear,4,5,4,5,1,3,3,5,5,5,5,5,2,1,1,2,5,3,1,3,3,4,3,1,2,3,3,3,2,3,5,2
Curly-Coated Retriever,3,1,3,3,3,4,4,4,5,5,4,3,3,3,2,3,2,3,3,4,4,5,5,5,3,4,4,5,3,4,5,5
Dachsador,3,4,2,3,2,3,3,4,4,4,3,4,3,2,1,4,4,4,2,3,3,4,2,4,2,4,4,4,3,4,4,4
Dachshund,3,5,4,4,3,1,3,3,4,5,3,1,3,3,1,3,2,5,1,4,2,4,4,5,5,5,3,3,3,3,4,1
Dalmatian,3,2,3,4,3,3,4,4,5,4,4,3,4,5,1,5,4,4,3,3,4,4,2,2,2,4,5,5,4,5,4,4
Dandie Dinmont Terrier,3,4,4,3,2,3,3,4,5,4,3,3,2,3,1,2,3,4,1,3,2,3,3,4,2,3,3,3,3,2,4,2
Daniff,3,2,2,3,1,4,3,4,5,4,4,3,3,2,4,1,3,3,5,3,4,4,2,2,1,2,4,3,4,4,4,5
Deutscher Wachtelhund,3,3,3,2,2,4,3,4,5,4,4,3,3,3,2,3,5,2,4,3,4,4,3,4,3,2,4,4,3,4,4,4
Doberdor,2,1,1,3,2,2,4,3,3,3,3,1,3,1,2,4,4,4,5,3,1,4,3,4,4,4,5,5,4,5,4,5
Doberman Pinscher,3,3,3,5,2,1,4,3,5,3,1,3,4,4,4,5,1,3,4,3,5,5,2,1,1,2,4,3,3,3,5,5
Docker,3,3,2,4,2,3,3,3,5,3,3,2,3,3,2,3,3,3,2,4,3,4,5,5,4,5,3,3,3,3,4,2
Dogo Argentino,2,1,1,3,2,2,4,3,4,2,2,2,3,1,3,4,3,2,4,3,2,3,2,5,2,4,4,4,4,4,3,4
Dogue de Bordeaux,3,5,1,4,2,3,2,3,5,5,1,1,4,3,5,5,2,4,4,3,2,3,4,4,2,1,3,2,2,5,3,5
Dorgi,3,4,4,3,1,4,3,4,4,4,4,3,3,2,2,4,4,4,2,3,3,4,4,3,3,3,4,4,4,4,5,2
Dorkie,3,5,4,4,2,2,2,4,4,4,4,4,2,3,1,2,2,2,1,3,3,4,2,3,2,2,2,2,2,2,3,1
Doxiepoo,3,5,3,4,2,3,3,3,5,2,1,3,2,3,3,2,4,2,2,4,3,5,3,4,5,4,4,4,4,4,5,3
Doxle,3,2,4,4,1,2,4,5,5,4,5,4,4,5,1,4,4,4,3,4,3,4,3,5,5,5,5,5,4,5,5,2
Drentsche Patrijshond,3,3,2,4,3,4,3,4,5,4,4,3,3,4,3,3,4,2,3,3,2,4,3,4,2,1,4,5,3,4,4,4
Drever,3,4,3,2,2,2,3,4,5,5,4,3,3,3,2,3,5,3,3,3,3,4,4,3,4,2,4,5,3,4,4,2
Dutch Shepherd,3,3,3,3,2,4,4,4,4,4,4,2,3,4,2,3,4,2,3,3,5,4,2,3,2,2,4,4,3,4,4,4
English Cocker Spaniel,4,5,4,5,1,4,3,5,5,5,5,5,3,3,1,3,4,5,2,4,4,5,3,5,4,4,4,5,3,4,5,3
English Foxhound,3,1,2,3,4,3,3,4,4,4,5,3,3,3,1,5,4,2,3,4,3,3,4,5,4,5,5,5,4,5,5,5
English Setter,3,1,3,4,1,4,3,5,5,5,5,5,3,3,2,3,3,5,3,4,3,5,4,5,4,5,4,4,2,5,5,5
English Springer Spaniel,3,1,3,4,1,3,4,5,5,5,5,4,3,3,1,2,3,3,3,4,5,5,3,5,3,4,5,5,3,5,5,4
English Toy Spaniel,3,4,4,4,1,2,2,4,5,1,4,4,3,5,2,4,2,3,2,3,3,3,4,4,3,2,3,3,3,2,4,2
Entlebucher Mountain Dog,3,1,2,4,3,4,2,4,5,5,3,2,3,3,1,5,3,3,3,4,3,4,4,4,5,3,5,5,4,5,5,3
Estrela Mountain Dog,3,1,3,2,3,4,3,4,5,5,3,2,3,4,3,2,4,3,4,3,4,5,2,1,3,1,3,3,3,3,3,5
Eurasier,3,4,3,2,1,4,3,4,3,5,4,2,3,4,3,3,4,2,4,2,4,4,2,1,2,1,3,3,2,3,3,4
Field Spaniel,3,1,3,4,1,3,4,5,5,5,4,4,3,3,1,4,3,4,2,4,5,5,3,4,2,5,5,5,3,5,5,3
Finnish Lapphund,4,4,4,4,2,5,2,5,5,5,5,4,3,3,1,4,4,4,3,4,5,5,4,4,3,4,5,5,5,4,5,3
Finnish Spitz,3,3,3,3,1,5,3,5,5,5,5,3,3,4,1,2,4,3,3,4,3,4,3,3,5,4,5,5,4,5,5,3
Flat-Coated Retriever,3,1,2,5,1,4,4,5,5,5,5,5,3,3,2,4,4,4,3,4,4,5,3,3,4,4,5,5,4,5,5,4
Fox Terrier - Standard,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1,2,4,2,2,4,5,5,3,5,3,3,5,5,5,5,5,3
Fox Terrier - Small,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1,2,4,2,2,4,5,5,3,5,3,3,5,5,5,5,5,2
French Bulldog,3,5,5,3,1,2,1,4,5,4,4,4,3,3,1,5,2,4,2,3,4,3,3,2,3,2,4,3,4,2,5,2
