a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,size,both_family_kid_friendliness
3,2,4,4,3,4,2,4,4,3,3,2,3,4,2,3,4,4,2,3,2,2,4,5,3,4,4,4.0,4.5
4,5,5,3,2,3,3,5,5,3,4,3,5,4,2,3,4,4,2,2,3,3,4,3,3,3,5,2.0,5.0
3,4,4,4,3,2,2,4,4,3,3,1,5,4,4,3,3,4,3,3,2,3,4,4,3,4,5,2.0,5.0
3,3,3,4,3,3,4,2,2,3,3,1,5,4,3,4,4,5,3,5,3,4,5,5,3,5,5,3.0,4.0
3,3,2,5,2,4,3,2,4,4,5,1,5,4,2,4,5,5,5,4,4,2,5,5,5,5,5,4.0,5.0
2,1,1,4,1,3,3,4,4,4,5,1,5,4,4,4,5,5,5,4,4,3,5,5,5,5,5,4.0,5.0
3,2,1,5,2,4,4,4,4,4,5,2,5,3,3,4,5,5,5,3,2,2,5,5,5,5,5,4.0,5.0
2,1,2,4,1,2,4,4,3,3,2,2,5,3,3,5,5,5,4,5,3,5,5,5,3,5,5,4.0,5.0
3,4,2,3,3,3,2,3,3,3,4,1,2,4,4,4,2,4,4,5,4,2,4,5,3,4,4,2.0,4.5
3,2,3,4,2,3,4,3,2,3,2,2,4,4,3,4,4,5,4,4,3,5,5,5,4,5,5,4.0,4.0
2,1,1,4,2,4,2,3,2,3,4,1,2,4,3,4,5,4,3,4,4,4,4,5,2,5,5,5.0,4.0
3,4,2,3,3,3,4,2,3,3,1,1,5,5,3,4,4,4,3,5,4,3,4,4,5,4,4,2.0,5.0
3,1,2,3,2,5,2,4,2,3,2,1,5,4,4,3,2,5,3,4,2,4,5,5,4,5,4,4.0,4.0
4,2,4,3,4,5,4,5,5,3,3,2,4,4,3,3,4,5,2,1,1,4,5,5,5,5,5,4.0,5.0
3,1,4,4,1,2,4,4,3,3,4,1,4,4,4,3,4,4,2,2,3,4,4,5,2,4,5,4.0,4.5
2,1,2,2,2,5,1,4,3,4,4,4,2,3,4,3,4,4,2,2,3,4,4,4,2,5,5,5.0,5.0
3,2,3,5,1,3,3,5,5,4,5,4,2,2,5,4,5,5,5,3,3,2,4,5,2,5,5,4.0,5.0
3,3,4,3,3,3,3,4,4,3,4,3,3,3,4,3,4,4,3,2,3,2,4,4,3,3,5,3.0,5.0
3,2,2,5,1,5,4,3,5,3,5,2,2,3,3,4,5,5,5,3,3,2,5,5,3,5,5,4.0,5.0
3,1,4,4,3,3,3,5,4,3,2,1,4,3,3,3,4,5,1,1,3,3,4,4,3,5,5,5.0,5.0
3,1,4,3,2,3,3,4,4,3,4,2,3,3,4,3,4,4,2,2,2,4,4,5,3,4,5,4.0,5.0
3,2,3,4,1,4,3,2,3,3,5,3,2,4,3,4,5,5,3,4,5,4,4,5,2,5,5,5.0,4.0
2,1,1,5,1,2,3,5,5,4,5,4,5,4,2,3,5,3,2,3,4,3,5,5,5,5,5,5.0,5.0
3,1,1,4,3,5,3,4,3,4,5,2,4,2,4,4,1,4,2,5,5,5,5,5,5,5,4,5.0,4.5
3,1,2,4,3,5,1,5,3,3,3,1,5,2,4,3,3,3,3,4,4,3,4,5,4,3,5,5.0,5.0
3,3,2,5,1,1,3,5,5,5,5,4,5,4,5,4,3,5,5,4,4,4,4,4,4,4,4,4.0,5.0
3,4,2,5,1,1,5,4,5,5,4,5,5,4,5,4,5,5,4,5,2,5,4,5,3,5,4,5.0,5.0
3,3,2,4,3,3,3,3,3,3,1,1,4,4,3,3,3,4,2,5,3,2,4,5,3,4,4,4.0,4.5
3,2,1,4,3,3,3,4,3,3,2,1,4,4,3,3,2,4,2,4,3,2,4,4,3,4,4,4.0,5.0
3,1,3,2,3,3,4,5,5,3,3,1,5,5,3,4,2,4,3,4,4,5,5,5,4,5,5,4.0,4.5
4,5,5,4,1,3,4,5,5,2,2,1,1,3,4,3,5,4,3,4,2,2,3,3,2,3,5,2.0,4.5
3,3,2,2,3,5,2,3,3,3,4,2,1,5,3,3,3,4,3,4,3,3,3,3,2,3,3,3.0,4.0
3,2,2,4,2,4,3,4,5,3,4,2,3,3,3,4,4,4,4,4,3,3,4,4,3,4,4,2.0,5.0
3,2,1,4,1,5,3,2,3,3,4,3,1,4,3,4,2,3,3,4,5,5,5,4,4,5,5,4.0,3.5
3,2,2,3,2,4,3,4,3,3,3,2,3,4,4,3,3,5,3,4,2,2,5,5,4,5,4,4.0,4.0
3,2,2,3,2,4,3,4,3,3,3,2,3,4,4,3,3,5,3,4,2,2,5,5,4,5,4,3.0,4.0
3,5,3,4,2,1,4,5,4,3,3,1,5,4,1,4,3,4,3,5,2,5,5,5,3,5,5,5.0,5.0
3,1,1,3,2,5,3,2,2,3,5,1,1,3,3,3,3,4,3,4,1,4,4,4,5,4,4,3.0,4.0
3,1,3,4,1,4,3,4,4,2,3,1,3,2,2,4,4,4,4,3,3,4,5,5,5,5,5,5.0,4.5
3,1,3,4,2,4,3,5,5,3,4,2,3,2,3,5,4,5,5,5,4,5,5,5,3,5,5,5.0,5.0
3,3,2,3,2,4,4,1,3,3,4,1,2,5,3,3,1,4,1,2,4,3,5,5,4,4,5,3.0,5.0
3,3,2,4,3,4,4,4,5,2,1,2,3,2,3,4,5,4,3,5,4,3,4,5,3,5,4,4.0,5.0
2,1,2,3,2,4,2,5,5,3,3,1,3,1,3,3,3,4,3,5,1,3,3,2,2,4,4,5.0,5.0
3,5,5,5,1,1,3,4,4,3,2,1,5,3,2,4,3,3,4,5,3,3,4,4,2,4,4,3.0,5.0
4,4,4,4,2,4,4,5,4,2,2,1,2,3,4,4,4,5,4,4,3,4,5,5,4,5,5,2.0,5.0
3,4,2,3,3,2,4,4,3,3,2,2,5,4,4,3,2,4,2,4,2,4,4,4,4,4,5,2.0,4.5
3,3,2,3,3,4,3,5,4,3,3,1,3,4,4,4,4,5,4,5,4,4,5,5,5,5,5,2.0,4.5
3,5,4,3,1,3,2,3,4,2,3,1,3,3,3,3,3,3,4,3,3,1,2,2,1,2,4,1.0,3.0
3,4,4,3,2,4,3,4,2,3,3,1,4,3,2,3,4,4,2,2,4,2,3,3,2,3,4,2.0,4.5
3,3,2,3,2,5,2,3,4,3,5,1,1,4,2,3,2,5,2,5,5,5,4,4,4,5,4,3.0,4.0
3,2,1,4,2,5,3,1,2,3,3,1,4,4,2,4,2,4,4,5,4,5,4,4,5,4,4,4.0,3.5
4,4,4,5,1,5,3,4,4,3,5,1,3,3,4,3,4,4,3,3,4,2,4,4,3,3,5,3.0,5.0
3,3,2,3,3,4,3,2,5,2,1,1,2,3,3,4,4,4,4,3,4,3,4,4,4,5,4,3.0,4.0
3,2,1,4,1,4,3,1,1,3,3,2,2,2,3,4,4,4,3,2,5,4,3,2,1,4,4,5.0,4.0
3,4,3,4,2,4,3,2,2,3,3,1,2,5,3,3,1,4,3,3,3,3,5,4,5,5,4,2.0,2.5
3,1,1,5,1,5,2,2,1,4,4,3,4,4,4,2,2,4,1,1,3,3,4,4,4,5,4,5.0,3.0
4,5,4,3,4,5,2,4,3,2,2,1,2,3,3,3,3,3,4,1,4,2,3,4,3,2,4,2.0,5.0
3,1,4,3,1,4,4,3,4,3,2,2,4,4,4,4,5,4,2,4,2,4,4,5,3,5,4,4.0,4.5
3,2,4,4,1,4,2,4,3,3,4,3,3,2,4,3,3,4,3,3,2,4,4,4,2,4,5,5.0,4.5
3,1,4,4,1,3,3,4,3,3,1,2,4,4,4,4,4,4,3,3,3,4,4,4,3,5,5,4.0,4.5
3,2,2,4,1,3,3,2,5,4,5,2,5,3,3,4,5,5,5,3,3,4,5,5,5,4,5,4.0,5.0
3,1,2,3,2,4,4,4,3,4,2,3,4,4,4,3,3,4,2,3,1,3,4,4,2,4,5,5.0,5.0
4,3,4,3,4,5,4,5,5,3,3,1,4,4,3,3,4,4,1,2,2,3,5,5,4,5,5,4.0,4.5
3,1,3,5,2,3,3,5,5,4,5,3,5,3,5,4,5,5,5,2,4,3,5,5,5,5,5,4.0,5.0
3,2,2,4,1,3,3,3,4,4,4,3,3,4,4,3,2,4,3,3,3,4,4,4,3,4,4,3.0,4.0
2,2,2,2,2,5,1,3,3,3,4,2,2,3,4,4,4,5,3,4,4,4,5,5,4,5,5,3.0,4.5
3,2,4,3,3,4,3,3,3,2,1,2,1,4,3,3,4,4,2,4,3,3,4,4,2,4,4,3.0,3.0
3,4,3,3,2,4,4,3,3,3,2,1,2,5,3,3,2,4,1,4,2,3,4,5,4,4,4,2.0,4.5
3,2,2,3,3,3,3,3,2,3,3,1,4,4,4,3,3,4,2,2,2,4,4,4,4,3,4,2.0,3.5
2,1,1,4,2,5,1,3,2,4,5,3,4,1,4,3,2,3,4,4,3,2,4,4,4,4,4,5.0,4.5
4,5,5,5,4,3,2,3,2,2,3,1,1,3,3,3,3,4,3,4,4,2,4,4,3,3,5,2.0,4.0
3,4,2,4,2,3,3,3,1,3,1,1,3,4,3,3,3,5,2,2,4,2,4,4,4,3,4,2.0,3.5
3,5,4,3,1,3,3,4,4,3,3,1,3,5,3,4,5,4,3,4,4,5,4,4,3,4,5,2.0,5.0
3,5,5,4,1,1,3,4,2,2,2,1,2,3,3,3,4,4,3,4,2,1,3,3,3,2,4,1.0,4.0
3,5,5,3,3,2,2,3,3,2,1,1,2,2,3,4,4,3,4,5,4,1,3,3,2,3,3,1.0,3.5
4,5,5,5,1,2,3,4,4,2,1,1,3,2,2,4,5,4,3,2,5,4,3,3,3,2,4,2.0,4.5
3,5,3,3,3,1,3,3,3,3,3,1,5,2,4,3,2,4,2,4,4,4,4,4,4,4,4,2.0,3.5
3,1,2,4,3,4,2,3,3,4,4,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4,4,5.0,5.0
2,2,1,3,3,4,1,2,2,4,3,5,3,3,4,2,3,2,4,2,2,1,4,3,3,4,4,5.0,5.0
3,5,3,5,2,1,3,2,3,3,2,1,5,3,5,3,3,3,2,3,1,5,4,4,3,4,5,1.0,4.0
4,4,3,4,5,4,4,3,3,2,2,1,2,3,4,4,5,4,2,4,3,3,4,5,3,5,4,2.0,4.0
3,3,2,3,2,2,3,2,3,2,1,1,3,4,4,4,3,4,5,3,5,2,4,4,3,4,5,1.0,3.5
3,2,4,4,2,3,3,2,2,3,3,1,4,4,2,4,5,4,3,4,4,4,4,4,2,4,4,3.0,3.0
2,2,1,4,1,1,2,2,1,4,3,5,3,2,5,2,3,3,2,1,1,1,3,3,1,3,4,5.0,4.5
3,1,3,4,1,5,2,4,4,4,5,5,2,1,4,4,5,4,3,4,4,3,3,3,1,3,4,5.0,5.0
4,4,5,4,3,4,4,5,4,3,1,1,4,5,5,3,5,4,2,1,3,4,4,4,4,4,5,1.0,4.5
3,3,3,3,4,5,2,3,3,3,3,1,2,4,3,3,4,3,3,2,4,4,5,4,4,5,5,3.0,5.0
4,4,4,4,2,5,3,4,4,3,5,1,3,4,4,4,2,4,3,4,4,4,4,5,3,5,4,3.0,4.5
3,1,1,3,2,5,3,5,5,3,5,1,4,3,3,3,4,5,3,2,1,5,5,4,4,5,5,2.0,5.0
4,5,3,4,2,4,4,5,5,3,2,1,2,4,5,4,4,4,4,3,4,4,5,5,4,4,5,1.0,5.0
4,5,3,3,2,4,4,4,4,3,3,1,5,4,4,4,4,5,4,5,4,3,5,5,3,5,5,3.0,5.0
4,5,4,4,2,4,2,4,4,3,1,4,1,4,4,3,3,4,2,3,1,2,4,4,3,4,4,4.0,4.5
3,1,4,2,5,4,3,5,4,3,4,1,2,4,3,4,2,4,3,5,2,5,5,5,4,5,5,5.0,5.0
3,5,5,3,1,2,4,4,5,2,2,1,3,3,3,3,5,4,3,4,2,1,4,4,3,5,5,1.0,4.0
4,5,5,4,1,2,4,4,4,2,1,1,2,3,3,3,5,5,3,3,2,2,5,5,3,5,5,2.0,4.0
4,5,5,4,2,3,2,4,3,2,2,1,2,3,4,3,3,4,4,3,4,1,3,3,2,3,4,2.0,4.5
3,5,4,2,3,4,1,2,2,2,4,1,1,2,3,4,3,4,3,5,4,3,2,2,1,2,3,1.0,3.5
4,4,4,4,3,4,3,3,5,3,5,1,4,3,4,3,5,5,2,3,2,2,4,4,3,4,4,2.0,4.5
3,4,3,3,3,4,3,5,5,3,4,1,2,3,4,4,1,4,3,5,5,5,5,5,4,5,5,2.0,5.0
4,4,4,5,2,1,5,5,4,3,2,1,4,5,3,4,3,4,4,5,4,4,3,2,3,4,4,3.0,5.0
2,2,1,4,1,3,3,3,5,3,4,2,3,4,2,4,3,3,4,3,4,4,5,4,4,5,5,4.0,5.0
2,1,1,4,2,2,4,5,3,3,2,1,5,5,3,4,4,3,3,5,1,5,4,4,4,5,3,4.0,3.5
3,4,3,4,2,2,4,5,4,3,3,1,5,3,5,4,3,4,4,3,5,5,4,4,4,4,4,2.0,5.0
2,1,1,3,1,2,4,5,5,3,3,1,5,3,3,5,5,5,5,5,3,5,5,5,5,5,5,5.0,5.0
4,4,2,4,3,4,4,3,3,2,1,1,1,4,3,3,4,4,3,3,2,3,4,4,3,4,4,3.0,4.5
3,5,5,4,1,3,2,3,3,2,3,1,1,3,4,3,4,4,3,2,3,1,3,3,3,3,4,1.0,4.0
3,4,3,3,3,2,4,3,3,3,3,1,2,5,4,4,3,4,4,3,4,3,4,3,4,3,4,1.0,3.5
3,4,4,4,1,3,2,3,3,3,4,1,2,3,4,3,3,2,3,3,5,4,4,4,3,3,4,2.0,4.0
3,4,4,4,1,4,2,2,3,3,4,1,2,3,4,3,4,4,2,2,5,1,3,3,2,2,3,2.0,3.5
3,5,2,4,1,5,3,3,3,3,4,1,2,3,3,4,3,4,3,4,5,2,3,4,2,3,4,2.0,3.5
4,5,5,5,1,3,4,4,4,2,1,1,1,3,4,3,5,4,3,3,2,2,4,4,3,4,5,2.0,5.0
4,5,5,4,1,3,4,4,4,2,1,1,1,2,4,4,5,5,4,2,2,3,4,4,3,4,5,3.0,5.0
4,5,5,4,1,3,4,4,4,2,1,1,1,2,4,4,5,5,4,2,2,3,4,4,3,4,5,2.0,5.0
4,5,5,4,1,3,4,4,4,2,1,1,1,2,4,4,5,5,4,2,2,3,4,4,3,4,5,1.0,5.0
3,5,4,3,3,2,3,4,4,3,3,1,4,4,2,4,4,3,3,4,4,3,4,5,3,3,3,1.0,4.0
3,4,3,4,2,4,3,5,3,2,1,1,2,4,3,4,4,5,5,3,3,3,5,5,3,5,5,3.0,5.0
3,5,5,3,1,2,1,4,4,3,5,1,5,1,5,2,3,2,2,3,2,2,4,3,4,3,5,2.0,4.5
4,5,5,5,2,2,2,5,5,3,4,1,4,3,5,3,4,3,3,3,3,2,4,3,3,3,5,2.0,5.0
4,4,5,3,3,3,3,5,5,3,3,1,5,4,5,3,2,3,3,2,4,5,3,3,2,3,3,2.0,4.0
3,4,1,4,2,4,3,5,2,2,1,1,1,5,3,4,2,4,3,4,4,5,5,5,5,5,5,2.0,5.0
3,5,2,4,1,4,3,2,2,2,3,1,3,2,3,3,2,4,3,4,5,2,5,4,5,5,5,3.0,5.0
3,5,3,4,3,1,4,3,4,3,4,1,5,4,3,3,5,4,2,4,1,4,5,5,4,4,5,2.0,4.5
3,4,2,5,2,3,2,4,3,3,2,4,5,3,3,4,3,4,4,4,4,5,5,4,4,5,5,4.0,5.0
3,1,2,4,2,3,3,4,3,4,4,1,5,4,3,3,2,4,3,5,1,5,5,4,4,5,5,5.0,4.5
3,3,2,5,1,4,3,3,3,4,4,4,5,2,5,4,4,5,4,3,4,3,5,5,5,5,5,5.0,4.5
3,4,3,3,3,3,3,3,3,3,2,2,4,4,3,3,5,5,3,3,2,2,4,4,3,4,5,,4.5
3,4,3,3,3,3,3,3,3,3,2,2,4,4,3,3,5,5,3,3,2,2,4,4,3,4,5,,4.5
2,2,1,4,1,2,3,2,4,4,4,4,5,2,5,4,4,5,3,4,4,2,4,4,4,4,5,5.0,4.5
3,2,5,3,2,4,3,5,4,3,3,1,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,5.0,5.0
3,3,2,4,1,5,1,5,5,4,4,5,2,2,4,2,2,4,3,1,1,2,3,3,2,2,4,5.0,5.0
2,1,2,5,1,2,3,4,1,3,2,1,4,4,1,4,4,4,4,5,1,5,4,5,2,5,5,4.0,4.5
3,2,2,4,2,5,1,5,5,3,5,2,1,3,4,4,3,3,3,5,3,4,4,5,2,5,5,4.0,5.0
3,2,3,3,2,5,3,4,4,3,4,2,2,3,4,3,3,5,3,3,2,4,4,5,3,4,5,4.0,4.5
3,4,4,4,3,3,2,2,2,3,3,1,5,4,5,3,2,4,3,2,4,5,5,5,3,5,5,2.0,4.5
3,3,5,4,2,2,4,3,3,3,2,1,4,3,4,3,4,5,3,3,2,3,4,4,3,4,4,3.0,4.5
3,1,1,3,2,4,4,2,5,3,5,1,2,3,4,3,2,3,4,5,1,4,5,5,5,5,5,5.0,4.5
3,4,2,4,3,4,3,4,4,2,2,1,2,4,3,3,1,4,3,3,4,5,4,4,4,4,4,2.0,4.5
4,4,4,4,2,4,3,4,3,3,4,3,1,5,3,3,3,4,2,2,2,3,4,4,2,4,4,2.0,4.0
4,4,4,5,2,4,3,4,4,3,1,1,3,4,4,3,3,5,3,1,2,2,4,4,3,4,5,3.0,5.0
3,1,1,4,2,4,3,3,4,3,4,2,3,4,2,4,4,5,4,4,3,2,5,5,4,5,5,4.0,4.5
3,2,3,5,2,4,3,4,5,3,5,1,2,4,3,3,5,5,1,3,1,2,4,4,2,4,4,2.0,5.0
4,5,4,3,5,4,3,3,3,3,4,1,4,3,2,4,2,4,4,3,4,4,3,4,2,3,3,2.0,3.5
3,5,4,4,1,2,2,4,4,3,1,1,4,4,3,2,3,4,1,1,2,1,4,4,2,3,5,2.0,5.0
3,5,2,4,2,3,2,2,4,2,1,1,2,3,4,3,2,4,3,2,2,2,3,3,1,2,4,2.0,4.0
3,5,5,3,3,3,1,4,5,2,3,1,1,3,4,3,3,4,4,4,2,2,3,2,3,2,4,2.0,4.5
3,4,4,4,2,2,1,3,4,2,2,2,2,2,3,2,2,4,1,1,2,2,3,2,3,2,4,1.0,4.0
3,1,2,3,2,4,4,3,2,3,4,2,3,3,4,4,4,4,3,3,3,4,4,5,4,4,4,4.0,4.0
3,5,3,3,1,2,2,2,3,2,2,1,4,2,3,3,2,3,2,4,4,3,4,4,3,2,5,1.0,3.5
3,2,1,4,1,5,3,5,5,3,3,3,2,4,2,4,2,3,4,3,5,5,5,5,3,5,5,3.0,5.0
4,4,4,4,2,4,4,3,4,3,2,2,4,4,2,4,5,4,3,5,1,4,4,4,2,4,5,3.0,4.5
3,5,3,3,3,1,4,2,3,3,2,1,4,4,3,4,4,4,2,5,4,3,4,4,4,3,4,1.0,3.5
4,4,4,3,2,4,4,2,5,3,3,1,3,5,3,4,2,4,3,4,4,4,4,3,4,3,4,2.0,4.0
3,4,2,4,3,2,3,4,3,3,3,1,5,3,2,3,3,4,3,5,2,3,4,5,3,5,3,5.0,5.0
3,1,2,3,4,5,3,5,4,3,3,1,3,5,3,4,5,5,3,5,3,4,5,4,5,5,4,4.0,5.0
3,5,4,4,2,2,3,5,5,3,2,1,3,4,3,3,4,4,2,3,3,4,4,4,3,4,5,3.0,5.0
3,2,1,3,3,4,3,2,2,3,3,2,3,4,3,2,2,4,2,1,1,2,3,3,2,3,4,5.0,4.0
4,4,4,5,2,4,3,5,5,3,3,4,2,3,2,3,4,4,2,4,2,2,4,4,2,4,4,4.0,5.0
3,2,3,4,1,4,4,3,3,3,1,2,4,4,4,4,5,5,2,4,3,4,4,4,3,4,4,4.0,3.5
3,2,3,4,3,2,2,4,3,3,3,1,3,5,3,4,5,5,1,4,3,3,4,3,4,4,5,3.0,5.0
2,3,1,4,2,3,1,1,5,3,3,3,5,3,4,3,2,3,2,2,3,4,4,3,3,4,5,2.0,5.0
3,4,2,4,2,4,4,3,2,2,1,1,2,5,1,4,3,5,3,5,2,5,5,5,3,5,5,3.0,4.0
4,5,5,5,1,5,5,5,5,3,3,1,4,4,5,3,3,5,2,1,4,1,2,2,1,2,4,2.0,5.0
3,3,1,3,3,4,3,3,5,4,4,1,5,4,4,3,5,5,2,4,1,3,5,5,3,5,5,2.0,4.5
3,5,5,2,1,3,4,3,3,2,1,1,3,3,3,4,4,5,2,4,3,3,4,5,3,4,5,2.0,4.5
3,2,3,3,3,4,3,3,3,3,4,2,3,3,5,4,3,5,4,3,2,4,4,5,3,5,4,3.0,3.5
3,1,1,5,1,5,2,5,2,3,2,2,4,3,4,3,1,5,5,3,2,3,3,4,2,2,5,5.0,5.0
3,5,4,5,1,1,2,4,3,3,3,1,4,5,3,4,4,4,3,3,4,3,4,3,3,4,4,2.0,5.0
4,5,3,4,1,4,4,4,3,2,1,1,1,5,3,3,4,4,2,2,2,3,5,5,4,5,5,2.0,5.0
3,5,3,4,1,2,3,3,3,3,4,1,5,5,2,4,3,4,2,5,4,4,5,5,4,5,5,1.0,4.5
2,1,2,3,2,3,3,4,3,4,4,3,5,4,3,3,3,4,3,4,1,1,4,4,4,5,3,4.0,4.0
3,1,2,5,2,3,3,3,3,4,3,2,5,4,3,4,2,4,3,4,5,5,4,4,4,5,3,4.0,4.0
3,4,3,4,2,1,1,3,4,4,4,3,5,3,4,3,3,3,2,3,4,1,4,4,4,4,4,5.0,4.5
3,1,3,5,1,1,4,5,5,3,2,1,5,4,2,4,5,4,4,2,5,5,5,5,4,5,5,4.0,5.0
3,1,2,5,1,3,4,3,3,4,4,4,5,3,2,4,4,5,5,5,2,5,5,5,5,5,5,4.0,4.5
4,4,4,5,1,4,4,4,3,3,3,1,4,4,4,4,5,5,3,3,5,5,5,5,4,5,4,3.0,5.0
3,3,3,3,2,2,2,5,4,3,2,1,2,5,3,4,3,5,2,5,4,4,5,5,5,5,5,2.0,4.5
4,4,4,4,2,4,3,5,3,3,4,1,3,3,4,4,4,4,2,4,4,3,4,4,4,4,4,2.0,4.5
3,3,4,4,1,3,3,4,4,3,1,1,5,4,4,4,4,4,3,4,3,3,4,4,4,4,5,2.0,4.0
3,5,3,5,2,1,4,4,4,3,2,1,5,4,1,4,4,4,4,5,1,4,4,5,2,5,5,4.0,5.0
3,4,1,3,1,4,2,3,4,3,2,1,3,4,2,2,2,4,1,2,1,3,4,4,4,4,4,3.0,4.0
3,1,3,4,1,4,3,4,5,3,1,1,3,4,3,4,5,5,3,4,4,4,4,5,3,4,5,4.0,5.0
3,5,1,5,1,3,3,2,1,4,5,1,5,5,3,4,3,5,3,5,5,5,3,3,3,3,3,4.0,4.0
4,5,5,4,3,2,3,3,2,2,1,1,4,3,2,4,4,4,3,3,5,2,4,5,3,3,4,2.0,4.5
3,5,4,5,2,2,2,3,2,2,2,1,1,4,2,3,3,3,2,2,3,3,5,5,4,4,5,1.0,3.0
